CNES,Estabelecimento,Municipios,Existentes,SUS,Estado
2000296,HOSPITAL DA MULHER E DA CRIANCA DO JURUA,CRUZEIRO DO SUL,5,0,ACRE
2006472,HOSPITAL MEMORIAL ARTHUR RAMOS,MACEIO,5,0,ALAGOAS
2006421,HOSPITAL ORTOPEDICO DE MACEIO,MACEIO,1,0,ALAGOAS
5253381,HOSPITAL UNIMED,MACEIO,4,0,ALAGOAS
2017245,HOSPITAL ADVENTISTA DE MANAUS,MANAUS,4,0,AMAZONAS
2017199,SAMEL,MANAUS,16,0,AMAZONAS
2019647,SES AP HOSPITAL DA CRIANCA E DO ADOLESCENTE,MACAPA,38,5,AMAPA
2517752,CASA DE SAUDE SAO JOAO,BARREIRAS,1,0,BAHIA
3381412,HOSPITAL SANTA EMILIA,FEIRA DE SANTANA,16,0,BAHIA
2389746,HOSPITAL ALIANCA,SALVADOR,12,0,BAHIA
2402092,HOSPITAL SAO GERALDO,VITORIA DA CONQUISTA,3,0,BAHIA
2479907,H J M A HOSPITAL JOSE MARTINIANO DE ALENCAR,FORTALEZA,8,0,CEARA
9297502,HOSPITAL E MATERNIDADE EUGENIA PINHEIRO,FORTALEZA,17,0,CEARA
3394514,HOSPITAL GENESIS,FORTALEZA,10,0,CEARA
3528618,HOSPITAL UNIMED SUL,FORTALEZA,10,0,CEARA
2426099,HOSPITAL GERAL PADRE CICERO,JUAZEIRO DO NORTE,3,0,CEARA
0797146,HOSPITAL BRASILIENSE,BRASILIA,3,0,DISTRITO FEDERAL
3019608,HOSPITAL SANTA HELENA,BRASILIA,11,0,DISTRITO FEDERAL
3005402,HOSPITAL SANTA LUZIA,BRASILIA,10,0,DISTRITO FEDERAL
9584498,MATERNIDADE E PRONTO ATENDIMENTO UNIMED,CACHOEIRO DE ITAPEMIRIM,3,0,ESPIRITO SANTO
5939712,HOSPITAL UNIMED NOROESTE CAPIXABA,COLATINA,5,0,ESPIRITO SANTO
5678838,SAO BERNARDO APART HOSPITAL S A,COLATINA,8,0,ESPIRITO SANTO
7914075,HOSPITAL MERIDIONAL SAO MATEUS,SAO MATEUS,5,0,ESPIRITO SANTO
2547058,HOSPITAL METROPOLITANO S A,SERRA,10,0,ESPIRITO SANTO
9160124,ANIMA,ANAPOLIS,5,0,GOIAS
2518414,HOSPITAL DA MULHER,GOIANIA,6,0,GOIAS
7306504,HOSPITAL PREMIUM,GOIANIA,10,0,GOIAS
2338130,PRONTO SOCORRO INFANTIL,GOIANIA,6,0,GOIAS
4261682,HOSPITAL MATERNO INFANTIL AUGUSTA BASTOS,RIO VERDE,10,0,GOIAS
7695004,HOSPITAL UNIMED RIO VERDE,RIO VERDE,5,0,GOIAS
6913652,HOSPITAL GUARAS,SAO LUIS,3,0,MARANHAO
2171945,SANTA CASA DE ALFENAS,ALFENAS,8,0,MINAS GERAIS
0027979,HOSPITAL BELO HORIZONTE,BELO HORIZONTE,10,0,MINAS GERAIS
0027944,HOSPITAL DA MULHER E MATERNIDADE SANTA FE,BELO HORIZONTE,10,0,MINAS GERAIS
0027871,MATERNIDADE OCTAVIANO NEVES,BELO HORIZONTE,20,0,MINAS GERAIS
3702693,MATERNIDADE UNIMED UNIDADE GRAJAU,BELO HORIZONTE,30,0,MINAS GERAIS
3648907,NEOCENTER,BELO HORIZONTE,8,0,MINAS GERAIS
0027952,NEOCENTER,BELO HORIZONTE,30,0,MINAS GERAIS
3019063,HOSPITAL ALBERT SABIN,JUIZ DE FORA,4,0,MINAS GERAIS
2756978,HOSPITAL CASSEMS UNIDADE DE TRES LAGOAS,TRES LAGOAS,5,0,MATO GROSSO DO SUL
2494523,FEMINA HOSPITAL INFANTIL E MATERNIDADE,CUIABA,13,0,MATO GROSSO
9619496,INTENSICRIN,CUIABA,3,0,MATO GROSSO
7901127,HOSPITAL MATERNIDADE 13 DE MAIO VILA ROMANA,SORRISO,9,0,MATO GROSSO
3656969,HOSPITAL ADVENTISTA DE BELEM,BELEM,3,0,PARA
2332809,HOSPITAL PORTO DIAS,BELEM,4,0,PARA
9087958,HOSPITAL PRO INFANTIL,BELEM,7,0,PARA
9046720,HOSPITAL RIO MAR,BELEM,6,0,PARA
5332427,SAUDE HOSPITAL E MATERNIDADE,BELEM,10,0,PARA
0179817,HOSPITAL REGIONAL PUBLICO DO TAPAJOS ITAITUBA,ITAITUBA,10,0,PARA
2615754,HOSPITAL DAS CLINICAS,PARAUAPEBAS,1,0,PARA
2621622,IMIMI,TUCURUI,2,0,PARA
2676060,HOSPITAL UNIVERSITARIO ALCIDES CARNEIROUFCG,CAMPINA GRANDE,4,4,PARAIBA
9561501,CLINEPA CENTRO HOSPITALAR,JOAO PESSOA,7,0,PARAIBA
3039269,HNSN EPITACIO,JOAO PESSOA,9,0,PARAIBA
2399989,HOSPITAL GERAL DA PARAIBA E HAPCLINICA JOAO PESSOA,JOAO PESSOA,4,0,PARAIBA
5615895,HOSPITAL UNIMED CARUARU,CARUARU,7,0,PERNAMBUCO
