CNES,Estabelecimento,Municipios,Existentes,SUS,Estado
2005417,CHAMA,ARAPIRACA,10,10,ALAGOAS
2010356,CARVALHO BELTRAO SERVICOS DE SAUDE LTDA,CORURIPE,18,9,ALAGOAS
2018055,HOSPITAL SANTA JULIA,MANAUS,5,0,AMAZONAS
2019647,SES AP HOSPITAL DA CRIANCA E DO ADOLESCENTE,MACAPA,38,5,AMAPA
2875802,HOSPITAL MATER DEI S A,SALVADOR,10,0,BAHIA
2402092,HOSPITAL SAO GERALDO,VITORIA DA CONQUISTA,5,0,BAHIA
3030121,HOSPITAL ANCHIETA,BRASILIA,14,0,DISTRITO FEDERAL
0010456,HOSPITAL DE BASE DO DISTRITO FEDERAL,BRASILIA,3,3,DISTRITO FEDERAL
0010537,HOSPITAL MATERNO INFANTIL DR ANTONIO LISBOA,BRASILIA,30,30,DISTRITO FEDERAL
2815966,HOSPITAL SANTA LUCIA,BRASILIA,21,0,DISTRITO FEDERAL
3276678,INSTITUTO DE CARDIOLOGIA E TRANSPLANTES DO DISTRITO FEDERAL,BRASILIA,2,2,DISTRITO FEDERAL
6929176,HOSPITAL FEMINA,GOIANIA,10,0,GOIAS
9534180,NEO SAUDE RV,RIO VERDE,10,0,GOIAS
2171945,SANTA CASA DE ALFENAS,ALFENAS,4,0,MINAS GERAIS
9681752,HOSPITAL UNIVERSITARIO SAGRADA FAMILIA,ARAGUARI,10,0,MINAS GERAIS
0027995,HOSPITAL MATER DEI S A MATRIZ,BELO HORIZONTE,20,0,MINAS GERAIS
9590676,NEOCENTER MATERNIDADE,BELO HORIZONTE,40,0,MINAS GERAIS
2159376,HOSPITAL E MATERNIDADE SANTA MONICA,DIVINOPOLIS,8,0,MINAS GERAIS
3013588,HOSPITAL MONTE SINAI,JUIZ DE FORA,10,0,MINAS GERAIS
2146355,HOSPITAL DE CLINICAS DE UBERLANDIA,UBERLANDIA,10,10,MINAS GERAIS
2151812,HOSPITAL SANTA GENOVEVA,UBERLANDIA,5,0,MINAS GERAIS
3984338,HOSPITAL GERAL EL KADRI LTDA,CAMPO GRANDE,10,0,MATO GROSSO DO SUL
0009717,SANTA CASA,CAMPO GRANDE,18,8,MATO GROSSO DO SUL
2604388,HOSPITAL SANTA ROSA,CUIABA,10,0,MATO GROSSO
5332427,SAUDE HOSPITAL E MATERNIDADE,BELEM,6,0,PARA
0745804,HELP FUNDACAO PEDRO AMERICO,CAMPINA GRANDE,9,5,PARAIBA
7520972,HOSPITAL PEDIATRICO UNIMED,JOAO PESSOA,5,0,PARAIBA
3056724,HOSPITAL UNIMED JOAO PESSOA,JOAO PESSOA,6,0,PARAIBA
2400243,HOSPITAL UNIVERSITARIO LAURO WANDERLEY,JOAO PESSOA,6,6,PARAIBA
2399644,MATERNIDADE CANDIDA VARGAS,JOAO PESSOA,3,0,PARAIBA
0000434,IMIP,RECIFE,18,18,PERNAMBUCO
2766876,HOSPITAL MEMORIAL DO CARMO,PICOS,10,0,PIAUI
0013846,HOSPITAL DO ROCIO,CAMPO LARGO,19,19,PARANA
2384299,COMPLEXO DO HOSPITAL DE CLINICAS DA UFPR HC E MVFA,CURITIBA,10,10,PARANA
3000907,HOSPITAL E MATERNIDADE SANTA BRIGIDA,CURITIBA,16,0,PARANA
0015563,HOSPITAL INFANTIL PEQUENO PRINCIPE,CURITIBA,20,12,PARANA
0015245,HOSPITAL UNIVERSITARIO EVANGELICO MACKENZIE,CURITIBA,20,20,PARANA
2550792,HOSPITAL EVANGELICO DE LONDRINA,LONDRINA,8,6,PARANA
2781859,HOSPITAL UNIVERSITARIO REGIONAL DO NORTE DO PARANA,LONDRINA,10,10,PARANA
2580055,ISCAL,LONDRINA,10,8,PARANA
2587165,HOSPITAL PARANA,MARINGA,10,0,PARANA
5833418,HOSPITAL GERAL UNIMED,PONTA GROSSA,8,0,PARANA
2753278,HOSPITAL E MATERNIDADE MUNICIPAL DE SAO JOSE DOS PINHAIS,SAO JOSE DOS PINHAIS,10,10,PARANA
5108969,HOSPITAL UNIMED,CAMPOS DOS GOYTACAZES,11,0,RIO DE JANEIRO
2287250,SOCIEDADE PORTUGUESA DE BENEFICENCIA DE CAMPOS,CAMPOS DOS GOYTACAZES,18,8,RIO DE JANEIRO
3315924,UTI NEONATAL NICOLA ALBANO,CAMPOS DOS GOYTACAZES,48,0,RIO DE JANEIRO
3014673,HOSPITAL DANIEL LIPP LTDA,DUQUE DE CAXIAS,10,0,RIO DE JANEIRO
6121705,UTI RIO SERVICOS MEDICOS LTDA,DUQUE DE CAXIAS,40,0,RIO DE JANEIRO
3410374,UTI NEONATAL NICOLA ALBANO,MACAE,21,0,RIO DE JANEIRO
7591136,MATERNIDADE MUNICIPAL MARIANA BULHOES,NOVA IGUACU,25,0,RIO DE JANEIRO
3152626,UPNI,NOVA IGUACU,12,0,RIO DE JANEIRO
2275635,HOSPITAL SANTA TERESA,PETROPOLIS,7,0,RIO DE JANEIRO
7659415,HOSPITAL OESTE DOR,RIO DE JANEIRO,16,0,RIO DE JANEIRO
9151583,HOSPITAL REAL DOR,RIO DE JANEIRO,12,0,RIO DE JANEIRO
2708353,IFF FIOCRUZ,RIO DE JANEIRO,14,14,RIO DE JANEIRO
6670504,LLAK MEDICINA NEONATAL LTDA FILIAL,RIO DE JANEIRO,26,0,RIO DE JANEIRO
5188326,LLAK MEDICINA NEONATAL LTDA MATRIZ,RIO DE JANEIRO,1,0,RIO DE JANEIRO
2269880,MS HGB HOSPITAL GERAL DE BONSUCESSO,RIO DE JANEIRO,12,12,RIO DE JANEIRO
2269988,MS HSE HOSPITAL DOS SERVIDORES DO ESTADO,RIO DE JANEIRO,8,8,RIO DE JANEIRO
2269783,UERJ HOSPITAL UNIV PEDRO ERNESTO,RIO DE JANEIRO,25,25,RIO DE JANEIRO
2296616,UFRJ IPPMG INST DE PUER PED MARTAGAO GESTEIRA,RIO DE JANEIRO,4,4,RIO DE JANEIRO
6411770,UNIDADE NEONATAL LAGOA BARRA,RIO DE JANEIRO,39,0,RIO DE JANEIRO
3508528,HOSPITAL UNIVERSITARIO DE CANOAS,CANOAS,20,20,RIO GRANDE DO SUL
9728317,HOSPITAL UNIMED UNIDADE MATERNO INFANTIL,CAXIAS DO SUL,15,0,RIO GRANDE DO SUL
2237601,HOSPITAL DE CLINICAS,PORTO ALEGRE,20,20,RIO GRANDE DO SUL
2265052,HOSPITAL FEMINA,PORTO ALEGRE,10,10,RIO GRANDE DO SUL
