CNES,Estabelecimento,Municipios,Existentes,SUS,Estado
5253381,HOSPITAL UNIMED,MACEIO,5,0,ALAGOAS
2017245,HOSPITAL ADVENTISTA DE MANAUS,MANAUS,4,0,AMAZONAS
2017199,SAMEL,MANAUS,6,0,AMAZONAS
2019647,SES AP HOSPITAL DA CRIANCA E DO ADOLESCENTE,MACAPA,38,5,AMAPA
0445916,UNIAO MEDICA,FEIRA DE SANTANA,5,0,BAHIA
3053687,HOSPITAL E MATERNIDADE GASTROCLINICA,FORTALEZA,2,0,CEARA
3528618,HOSPITAL UNIMED SUL,FORTALEZA,10,0,CEARA
2426099,HOSPITAL GERAL PADRE CICERO,JUAZEIRO DO NORTE,1,0,CEARA
0049867,HOSPITAL AGUAS CLARAS,BRASILIA,7,0,DISTRITO FEDERAL
3048551,HOSPITAL BRASILIA,BRASILIA,80,0,DISTRITO FEDERAL
3019608,HOSPITAL SANTA HELENA,BRASILIA,2,0,DISTRITO FEDERAL
3005402,HOSPITAL SANTA LUZIA,BRASILIA,6,0,DISTRITO FEDERAL
7981457,MATERNIDADE BRASILIA,BRASILIA,35,0,DISTRITO FEDERAL
9584498,MATERNIDADE E PRONTO ATENDIMENTO UNIMED,CACHOEIRO DE ITAPEMIRIM,1,0,ESPIRITO SANTO
5939712,HOSPITAL UNIMED NOROESTE CAPIXABA,COLATINA,3,0,ESPIRITO SANTO
5678838,SAO BERNARDO APART HOSPITAL S A,COLATINA,1,0,ESPIRITO SANTO
7914075,HOSPITAL MERIDIONAL SAO MATEUS,SAO MATEUS,5,0,ESPIRITO SANTO
3167895,HOSPITAL UNIMED VITORIA HU,VITORIA,9,0,ESPIRITO SANTO
9160124,ANIMA,ANAPOLIS,5,0,GOIAS
2337851,HOSPITAL INFANTIL DE CAMPINAS,GOIANIA,8,8,GOIAS
2338130,PRONTO SOCORRO INFANTIL,GOIANIA,7,0,GOIAS
4261682,HOSPITAL MATERNO INFANTIL AUGUSTA BASTOS,RIO VERDE,10,0,GOIAS
0932027,HOSPITAL EDMUNDO FERNANDES,URUACU,1,0,GOIAS
6913652,HOSPITAL GUARAS,SAO LUIS,2,0,MARANHAO
2308665,HOSPITAL SAO DOMINGOS,SAO LUIS,8,0,MARANHAO
9170111,NATUS LUMINE MATERNIDADE E HOSPITAL,SAO LUIS,10,0,MARANHAO
0027979,HOSPITAL BELO HORIZONTE,BELO HORIZONTE,7,0,MINAS GERAIS
0027685,HOSPITAL INFANTIL SAO CAMILO UNIMED,BELO HORIZONTE,20,0,MINAS GERAIS
3648907,NEOCENTER,BELO HORIZONTE,32,0,MINAS GERAIS
3019063,HOSPITAL ALBERT SABIN,JUIZ DE FORA,1,0,MINAS GERAIS
2208903,HOSPITAL POCOS DE CALDAS,POCOS DE CALDAS,4,0,MINAS GERAIS
2151812,HOSPITAL SANTA GENOVEVA,UBERLANDIA,10,0,MINAS GERAIS
2494523,FEMINA HOSPITAL INFANTIL E MATERNIDADE,CUIABA,3,0,MATO GROSSO
7901127,HOSPITAL MATERNIDADE 13 DE MAIO VILA ROMANA,SORRISO,1,0,MATO GROSSO
3656969,HOSPITAL ADVENTISTA DE BELEM,BELEM,6,0,PARA
2332809,HOSPITAL PORTO DIAS,BELEM,4,0,PARA
9087958,HOSPITAL PRO INFANTIL,BELEM,9,0,PARA
9046720,HOSPITAL RIO MAR,BELEM,4,0,PARA
2615754,HOSPITAL DAS CLINICAS,PARAUAPEBAS,1,0,PARA
2621630,HOSPITAL SANTA ANGELICA,TUCURUI,1,0,PARA
2362821,CLIPSI,CAMPINA GRANDE,1,1,PARAIBA
2362880,HOSPITAL MUNICIPAL DR EDGLEY,CAMPINA GRANDE,10,10,PARAIBA
2676060,HOSPITAL UNIVERSITARIO ALCIDES CARNEIROUFCG,CAMPINA GRANDE,5,5,PARAIBA
3043142,AMIP,JOAO PESSOA,4,4,PARAIBA
2399989,HOSPITAL GERAL DA PARAIBA E HAPCLINICA JOAO PESSOA,JOAO PESSOA,4,0,PARAIBA
2613611,HOSPITAL E MAT MUNICIPAL SANTA TEREZINHA,MASSARANDUBA,1,0,PARAIBA
2430495,HGU HOSPITAL GERAL E URGENCIA,PETROLINA,2,0,PERNAMBUCO
2517140,HOSPITAL MEMORIAL SAO JOSE,RECIFE,5,0,PERNAMBUCO
2517132,HOSPITAL SANTA JOANA RECIFE,RECIFE,9,0,PERNAMBUCO
0001120,REAL HOSPITAL PORTUGUES,RECIFE,4,0,PERNAMBUCO
2517167,HOSPITAL SANTA MARTA,SERRA TALHADA,1,0,PERNAMBUCO
2694700,CLINICA INFANTIL DE PICOS CLINP,PICOS,15,0,PIAUI
7758391,HOSPITAL DO CORACAO UNIDADE BELA SUICA,LONDRINA,9,0,PARANA
3315916,CLINICA CIRURGICA E MATERNIDADE LILIA NEVES,CAMPOS DOS GOYTACAZES,1,0,RIO DE JANEIRO
5106702,UNIMED COSTA DO SOL HOSPITAL,MACAE,7,0,RIO DE JANEIRO
3065634,CHN COMPLEXO HOSPITALAR DE NITEROI,NITEROI,6,0,RIO DE JANEIRO
0012599,HOSPITAL GETULIO VARGAS FILHO,NITEROI,7,5,RIO DE JANEIRO
6734014,HOSPITAL ICARAI,NITEROI,10,0,RIO DE JANEIRO
2298090,HOSPITAL UNIMED DE NOVA FRIBURGO,NOVA FRIBURGO,2,0,RIO DE JANEIRO
3019527,CASA DE SAUDE NOSSA SENHORA DE FATIMA N IGUACU SA,NOVA IGUACU,16,0,RIO DE JANEIRO
7580126,HOSPITAL GERAL PRONTONIL,NOVA IGUACU,10,0,RIO DE JANEIRO
2282097,PRONTONIL,NOVA IGUACU,12,0,RIO DE JANEIRO
3972976,HOSPITAL UNIMED,PETROPOLIS,2,0,RIO DE JANEIRO
3008568,CENTRO PEDIATRICO DA LAGOA,RIO DE JANEIRO,25,0,RIO DE JANEIRO
2273438,HOSPITAL CENTRAL DA POLICIA MILITAR DO ESTADO DO RIO DE JANE,RIO DE JANEIRO,2,0,RIO DE JANEIRO
3005992,HOSPITAL COPA DOR,RIO DE JANEIRO,9,0,RIO DE JANEIRO
7421710,HOSPITAL PASTEUR,RIO DE JANEIRO,10,0,RIO DE JANEIRO
9796282,HOSPITAL PRO CRIANCA,RIO DE JANEIRO,12,0,RIO DE JANEIRO
6176666,HOSPITAL RIOS DOR,RIO DE JANEIRO,7,0,RIO DE JANEIRO
2280132,MS INC INSTITUTO NACIONAL DE CARDIOLOGIA,RIO DE JANEIRO,8,8,RIO DE JANEIRO
2814188,PERINATAL LARANJEIRAS CASA DE SAUDE LARANJEIRAS,RIO DE JANEIRO,4,0,RIO DE JANEIRO
2269678,SES RJ IECAC INST EST DE CARDIOLOGIA ALOYSIO DE CASTRO,RIO DE JANEIRO,7,4,RIO DE JANEIRO
2280183,SMS HOSPITAL MUNICIPAL SOUZA AGUIAR AP 10,RIO DE JANEIRO,16,16,RIO DE JANEIRO
3621316,HOSPITAL PEDIATRICO LAGOS,SAO PEDRO DA ALDEIA,14,0,RIO DE JANEIRO
2654024,HOSPITAL ANTONIO PRUDENTE NATAL,NATAL,4,0,RIO GRANDE DO NORTE
3649563,HOSPITAL UNIMED,NATAL,9,0,RIO GRANDE DO NORTE
7808488,UNIDADE MATERNO INFANTIL HCR,JI-PARANA,10,0,RONDONIA
6205224,HOSPITAL UNIMED,PORTO VELHO,2,0,RONDONIA
2223570,HOSPITAL DO CIRCULO,CAXIAS DO SUL,6,0,RIO GRANDE DO SUL
2691868,HOSPITAL INFANTIL JOANA DE GUSMAO,FLORIANOPOLIS,10,6,SANTA CATARINA
9757090,HOSPITAL GERAL JOINVILLE,JOINVILLE,2,0,SANTA CATARINA
3061388,HOSPITAL UNIMED TUBARAO,TUBARAO,2,0,SANTA CATARINA
6137040,CENTRO MEDICO GABRIEL SOARES,ARACAJU,2,0,SERGIPE
3366219,HOSPITAL UNIMED DE ARACATUBA,ARACATUBA,5,0,SAO PAULO
2024624,HOSPITAL E MATERNIDADE DE ASSIS,ASSIS,1,0,SAO PAULO
3272591,HOSPITALIS,BARUERI,2,0,SAO PAULO
9915354,HOSPITAL BAURU,BAURU,2,0,SAO PAULO
2081946,CASA DE SAUDE,CAMPINAS,7,0,SAO PAULO
2078678,HOSPITAL E MATERNIDADE MADRE THEODORA,CAMPINAS,4,0,SAO PAULO
7044666,HOSPITAL RENASCENCA CAMPINAS,CAMPINAS,2,0,SAO PAULO
2023148,HOSPITAL SAMARITANO DE CAMPINAS,CAMPINAS,10,0,SAO PAULO
2078376,HOSPITAL VERA CRUZ,CAMPINAS,6,0,SAO PAULO
2084252,SOBRAPAR CAMPINAS,CAMPINAS,1,1,SAO PAULO
3101126,HOSPITAL SAO FRANCISCO SC LTDA,COTIA,11,0,SAO PAULO
2078473,HOSPITAL DR LUIZ CAMARGO DA FONSECA E SILVA,CUBATAO,2,2,SAO PAULO
7261012,INNOVA HOSPITAIS ASSOCIADOS LTDA,DIADEMA,9,0,SAO PAULO
2081601,HOSPITAL FRANCA,FRANCA,2,0,SAO PAULO
2798220,PLENA SAUDE,FRANCO DA ROCHA,1,0,SAO PAULO
6625649,COMPLEXO HOSPITALAR UNIMED GUARULHOS,GUARULHOS,4,0,SAO PAULO
2718324,HOSPITAL BOM CLIMA,GUARULHOS,2,0,SAO PAULO
2081628,HOSPITAL CARLOS CHAGAS,GUARULHOS,9,0,SAO PAULO
9149511,HOSPITAL NEUROCENTER,GUARULHOS,7,0,SAO PAULO
2078872,HOSPITAL SANTA IGNES,INDAIATUBA,6,0,SAO PAULO
2882949,PRONTO SOCORRO INFANTIL,ITU,10,0,SAO PAULO
2935406,HOSPITAL PREVINA,MOGI DAS CRUZES,4,0,SAO PAULO
2784874,MOGI MATER HOSPITAL E MATERNIDADE,MOGI DAS CRUZES,5,0,SAO PAULO
2079887,HOSPITAL CRUZEIRO DO SUL,OSASCO,10,0,SAO PAULO
2080699,HOSPITAL UNIMED PIRACICABA,PIRACICABA,5,0,SAO PAULO
2755130,HOSPITAL DOMINGOS LEONARDO CERAVOLO PRESIDENTE PRUDENTE,PRESIDENTE PRUDENTE,6,0,SAO PAULO
2078791,HOSPITAL MATERNIDADE RP,RIBEIRAO PRETO,10,0,SAO PAULO
2077973,HOSPITAL SAO LUCAS RIBEIRAO PRETO,RIBEIRAO PRETO,4,0,SAO PAULO
2789590,HOSPITAL E MATERNIDADE BRASIL,SANTO ANDRE,10,0,SAO PAULO
2079607,HOSPITAL E MATERNIDADE DR CHRISTOVAO DA GAMA,SANTO ANDRE,8,0,SAO PAULO
3008398,CASA DE SAUDE SANTOS,SANTOS,6,0,SAO PAULO
2025760,HOSPITAL ANA COSTA,SANTOS,5,0,SAO PAULO
3024660,HOSPITAL ASSUNCAO,SAO BERNARDO DO CAMPO,6,0,SAO PAULO
6273270,HOSPITAL E MATERNIDADE SANTA HELENA,SAO BERNARDO DO CAMPO,10,0,SAO PAULO
2082330,HOSPITAL NOSSA SENHORA DE FATIMA,SAO CAETANO DO SUL,3,0,SAO PAULO
9194258,HOSPITAL SAO LUIZ SAO CAETANO,SAO CAETANO DO SUL,15,0,SAO PAULO
0962589,HOSPITAL UNIMED SAO CARLOS UNIDADE II,SAO CARLOS,2,0,SAO PAULO
3517918,HOSPITAL SAO JOSE,SAO JOSE DOS CAMPOS,4,0,SAO PAULO
2077655,ASSOC AACD V CLEMENTINO,SAO PAULO,3,0,SAO PAULO
2089610,HOSP EDMUNDO VASCONCELOS,SAO PAULO,7,0,SAO PAULO
2080796,HOSP MAT SAO CRISTOVAO,SAO PAULO,10,0,SAO PAULO
2080346,HOSP MUN DR CARMINO CARICCHIO,SAO PAULO,4,1,SAO PAULO
2077450,HOSP MUN PIRITUBA JOSE SOARES HUNGRIA,SAO PAULO,8,0,SAO PAULO
5907594,HOSP SAO LUIZ ANALIA FRANCO,SAO PAULO,11,0,SAO PAULO
2089238,HOSPITAL ALVORADA MOEMA,SAO PAULO,10,0,SAO PAULO
2032481,HOSPITAL DA LUZ 92,SAO PAULO,20,0,SAO PAULO
2088576,HOSPITAL DE TRANSP DO EST DE SP EURYCLIDES DE JESUS ZERBINI,SAO PAULO,0,0,SAO PAULO
2058502,HOSPITAL DO SERV PUB EST FCO MORATO DE OLIVEIRA SAO PAULO,SAO PAULO,4,0,SAO PAULO
2078082,HOSPITAL E MATERNIDADE METROPOLITANO,SAO PAULO,9,0,SAO PAULO
2078589,HOSPITAL E MATERNIDADE SANTA MARIA CRUZ AZUL,SAO PAULO,18,0,SAO PAULO
3045625,HOSPITAL E MATERNIDADE VIDAS,SAO PAULO,8,0,SAO PAULO
6668143,HOSPITAL E MATERNIDADE VITORIA,SAO PAULO,4,0,SAO PAULO
2823209,HOSPITAL E PRONTO SOCORRO PORTINARI,SAO PAULO,10,0,SAO PAULO
2082225,HOSPITAL KATIA DE SOUZA RODRIGUES TAIPAS SAO PAULO,SAO PAULO,4,3,SAO PAULO
6283993,HOSPITAL LEFORTE,SAO PAULO,8,0,SAO PAULO
9490604,HOSPITAL SAGRADA FAMILIA,SAO PAULO,8,0,SAO PAULO
4223683,HOSPITAL SAINT PATRICK PORTINARI,SAO PAULO,10,0,SAO PAULO
2688603,HOSPITAL SANTA CATARINA,SAO PAULO,16,0,SAO PAULO
3039420,HOSPITAL SAO CAMILO SANTANA,SAO PAULO,11,0,SAO PAULO
