CNES,Estabelecimento,Municipios,Existentes,SUS,Estado
5336171,HOSPITAL REGIONAL DO JURUA IRMA NAIR TERESINHA REICHERT,CRUZEIRO DO SUL,2,0,ACRE
2001586,FUNDHACRE,RIO BRANCO,1,1,ACRE
2000385,HOSPITAL INFANTIL IOLANDA COSTA E SILVA,RIO BRANCO,20,10,ACRE
2005417,CHAMA,ARAPIRACA,10,10,ALAGOAS
9406697,CORDIAL,MACEIO,3,0,ALAGOAS
2868628,HOSPITAL DA CRIANCA DE ALAGOAS,MACEIO,10,0,ALAGOAS
9923837,HOSPITAL DA MULHER DRA NISE DA SILVEIRA,MACEIO,10,10,ALAGOAS
3397874,HOSPITAL DO CORACAO ALAGOANO PROF ADIB JATENE,MACEIO,4,0,ALAGOAS
5195063,HOSPITAL DO CORACAO DE ALAGOAS,MACEIO,3,0,ALAGOAS
2006510,HOSPITAL GERAL DO ESTADO DR OSVALDO BRANDAO VILELA,MACEIO,20,10,ALAGOAS
2006448,HOSPITAL VEREDAS,MACEIO,5,3,ALAGOAS
2007037,SANTA CASA DE MISERICORDIA DE MACEIO,MACEIO,9,9,ALAGOAS
2012677,FUNDACAO CECON,MANAUS,4,4,AMAZONAS
2013606,FUNDACAO DE MEDICINA TROPICAL,MANAUS,10,10,AMAZONAS
2012030,HOSPITAL E P S DA CRIANCA DA ZONA LESTE,MANAUS,10,10,AMAZONAS
2018071,HOSPITAL E P S DA CRIANCA DA ZONA OESTE,MANAUS,10,10,AMAZONAS
2012472,HOSPITAL E PRONTO SOCORRO DA CRIANCA ZONA SUL,MANAUS,28,14,AMAZONAS
5169976,HOSPITAL E PRONTO SOCORRO DR ARISTOTELES PLATAO B DE ARAUJO,MANAUS,5,5,AMAZONAS
2017849,HOSPITAL INFANTIL DR FAJARDO,MANAUS,9,5,AMAZONAS
2018403,HOSPITAL UNIVERSITARIO FRANCISCA MENDES,MANAUS,11,10,AMAZONAS
2017431,INSTITUTO DE SAUDE DA CRIANCA DO AMAZONAS ICAM,MANAUS,22,22,AMAZONAS
2019647,SES AP HOSPITAL DA CRIANCA E DO ADOLESCENTE,MACAPA,38,5,AMAPA
3972925,HOSPITAL DO OESTE,BARREIRAS,7,7,BAHIA
2556502,HOSPITAL RAMOS,EUNAPOLIS,5,0,BAHIA
6602533,HOSPITAL ESTADUAL DA CRIANCA,FEIRA DE SANTANA,30,20,BAHIA
2799758,HOSPITAL GERAL CLERISTON ANDRADE,FEIRA DE SANTANA,8,8,BAHIA
2415844,HOSPITAL MATERNO INFANTIL DOUTOR JOAQUIM SAMPAIO,ILHEUS,10,10,BAHIA
2525569,HOSPITAL MANOEL NOVAES,ITABUNA,10,7,BAHIA
2400693,HOSPITAL GERAL PRADO VALADARES,JEQUIE,10,10,BAHIA
2389746,HOSPITAL ALIANCA,SALVADOR,6,0,BAHIA
0003875,HOSPITAL ANA NERY,SALVADOR,8,8,BAHIA
6595197,HOSPITAL DO SUBURBIO,SALVADOR,10,10,BAHIA
0106526,HOSPITAL ESPANHOL,SALVADOR,10,0,BAHIA
0004294,HOSPITAL GERAL DO ESTADO,SALVADOR,8,8,BAHIA
0003859,HOSPITAL GERAL ROBERTO SANTOS,SALVADOR,16,16,BAHIA
2802082,HOSPITAL JORGE VALENTE,SALVADOR,5,0,BAHIA
0004278,HOSPITAL MARTAGAO GESTEIRA,SALVADOR,30,30,BAHIA
9443665,HOSPITAL MUNICIPAL DE SALVADOR HMS,SALVADOR,10,10,BAHIA
0003832,HOSPITAL SANTA ISABEL,SALVADOR,14,5,BAHIA
2802104,HOSPITAL SANTO ANTONIO,SALVADOR,10,10,BAHIA
0003808,HOSPITAL SAO RAFAEL,SALVADOR,4,2,BAHIA
6558143,HOSPITAL TEREZA DE LISIEUX,SALVADOR,3,0,BAHIA
2402076,COMPLEXO HOSPITALAR DE VITORIA DA CONQUISTA CHVC,VITORIA DA CONQUISTA,10,10,BAHIA
2488892,IBR HOSPITAL,VITORIA DA CONQUISTA,10,0,BAHIA
2407205,SAMUR,VITORIA DA CONQUISTA,5,0,BAHIA
2564238,HOSPITAL MATERNIDADE SANTO ANTONIO HMSA,BARBALHA,10,10,CEARA
2564211,HOSPITAL MATERNIDADE SAO VICENTE DE PAULO HMSVP,BARBALHA,10,7,CEARA
2415488,HOSPITAL E MATERNIDADE SAO FRANCISCO DE ASSIS,CRATO,10,10,CEARA
2563681,HIAS HOSPITAL INFANTIL ALBERT SABIN,FORTALEZA,37,37,CEARA
2479214,HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,FORTALEZA,17,9,CEARA
2415631,HOSPITAL ANTONIO PRUDENTE,FORTALEZA,2,2,CEARA
2611686,HOSPITAL CURA DARS,FORTALEZA,5,0,CEARA
2785900,HOSPITAL GERAL DR WALDEMAR ALCANTARA,FORTALEZA,8,8,CEARA
3007898,HOSPITAL LUIZ FRANCA,FORTALEZA,6,0,CEARA
3001113,HOSPITAL OTOCLINICA,FORTALEZA,3,0,CEARA
3189546,HOSPITAL SAO CARLOS,FORTALEZA,5,0,CEARA
3283437,ICCA INSTITUTO DO CORACAO DA CRIANCA E DO ADOLESCENTE,FORTALEZA,3,3,CEARA
2529149,IJF INSTITUTO DR JOSE FROTA CENTRAL,FORTALEZA,7,7,CEARA
2526638,SOPAI HOSPITAL INFANTIL,FORTALEZA,20,10,CEARA
