CNES,Estabelecimento,Municipios,Existentes,SUS,Estado
2010356,CARVALHO BELTRAO SERVICOS DE SAUDE LTDA,CORURIPE,9,9,ALAGOAS
7708963,SANTA CASA DE MACEIO UNIDADE FAROL,MACEIO,4,0,ALAGOAS
2018055,HOSPITAL SANTA JULIA,MANAUS,5,1,AMAZONAS
2875802,HOSPITAL MATER DEI S A,SALVADOR,10,0,BAHIA
0003808,HOSPITAL SAO RAFAEL,SALVADOR,4,4,BAHIA
0003816,HOSPITAL UNIVERSITARIO PROFESSOR EDGARD SANTOS,SALVADOR,10,10,BAHIA
3001113,HOSPITAL OTOCLINICA,FORTALEZA,3,0,CEARA
3030121,HOSPITAL ANCHIETA,BRASILIA,10,0,DISTRITO FEDERAL
0010456,HOSPITAL DE BASE DO DISTRITO FEDERAL,BRASILIA,3,3,DISTRITO FEDERAL
2815966,HOSPITAL SANTA LUCIA,BRASILIA,11,0,DISTRITO FEDERAL
3276678,INSTITUTO DE CARDIOLOGIA E TRANSPLANTES DO DISTRITO FEDERAL,BRASILIA,8,8,DISTRITO FEDERAL
2726653,EBSERH HOSPITAL UNIVERSITARIO DA UFMA,SAO LUIS,10,10,MARANHAO
2309149,UDI HOSPITAL,SAO LUIS,10,0,MARANHAO
9681752,HOSPITAL UNIVERSITARIO SAGRADA FAMILIA,ARAGUARI,10,0,MINAS GERAIS
2145960,SANTA CASA DE MISERICORDIA DE ARAGUARI,ARAGUARI,2,2,MINAS GERAIS
6575560,BH HOSPITAL GOVERNADOR ISRAEL PINHEIRO HGIP,BELO HORIZONTE,10,0,MINAS GERAIS
0027014,SANTA CASA DE BELO HORIZONTE,BELO HORIZONTE,18,18,MINAS GERAIS
2159376,HOSPITAL E MATERNIDADE SANTA MONICA,DIVINOPOLIS,2,0,MINAS GERAIS
2146355,HOSPITAL DE CLINICAS DE UBERLANDIA,UBERLANDIA,9,9,MINAS GERAIS
2151812,HOSPITAL SANTA GENOVEVA,UBERLANDIA,4,0,MINAS GERAIS
0009717,SANTA CASA,CAMPO GRANDE,14,10,MATO GROSSO DO SUL
2604388,HOSPITAL SANTA ROSA,CUIABA,8,0,MATO GROSSO
5332427,SAUDE HOSPITAL E MATERNIDADE,BELEM,3,0,PARA
0745804,HELP FUNDACAO PEDRO AMERICO,CAMPINA GRANDE,10,6,PARAIBA
7520972,HOSPITAL PEDIATRICO UNIMED,JOAO PESSOA,5,0,PARAIBA
3056724,HOSPITAL UNIMED JOAO PESSOA,JOAO PESSOA,5,0,PARAIBA
2400243,HOSPITAL UNIVERSITARIO LAURO WANDERLEY,JOAO PESSOA,4,4,PARAIBA
0000981,HOSPITAL CORREIA PICANCO,RECIFE,0,0,PERNAMBUCO
2517140,HOSPITAL MEMORIAL SAO JOSE,RECIFE,1,1,PERNAMBUCO
0000434,IMIP,RECIFE,22,22,PERNAMBUCO
2766876,HOSPITAL MEMORIAL DO CARMO,PICOS,7,0,PIAUI
2726998,ASSOCIACAO PIAUIENSE DE COMBATE AO CANCER ALCENOR ALMEIDA,TERESINA,2,2,PIAUI
0013846,HOSPITAL DO ROCIO,CAMPO LARGO,12,12,PARANA
2384299,COMPLEXO DO HOSPITAL DE CLINICAS DA UFPR HC E MVFA,CURITIBA,8,8,PARANA
0015644,HOSPITAL ERASTO GAERTNER,CURITIBA,8,4,PARANA
0015563,HOSPITAL INFANTIL PEQUENO PRINCIPE,CURITIBA,48,34,PARANA
0015245,HOSPITAL UNIVERSITARIO EVANGELICO MACKENZIE,CURITIBA,10,6,PARANA
2577623,HCL HOSPITAL DO CANCER DE LONDRINA,LONDRINA,10,10,PARANA
2550792,HOSPITAL EVANGELICO DE LONDRINA,LONDRINA,2,1,PARANA
2781859,HOSPITAL UNIVERSITARIO REGIONAL DO NORTE DO PARANA,LONDRINA,5,5,PARANA
2580055,ISCAL,LONDRINA,10,7,PARANA
5833418,HOSPITAL GERAL UNIMED,PONTA GROSSA,2,0,PARANA
5108969,HOSPITAL UNIMED,CAMPOS DOS GOYTACAZES,6,0,RIO DE JANEIRO
3315924,UTI NEONATAL NICOLA ALBANO,CAMPOS DOS GOYTACAZES,10,0,RIO DE JANEIRO
3014673,HOSPITAL DANIEL LIPP LTDA,DUQUE DE CAXIAS,10,0,RIO DE JANEIRO
6121705,UTI RIO SERVICOS MEDICOS LTDA,DUQUE DE CAXIAS,20,0,RIO DE JANEIRO
3594432,HOSPITAL NITEROI DOR,NITEROI,6,0,RIO DE JANEIRO
3152626,UPNI,NOVA IGUACU,16,0,RIO DE JANEIRO
2275635,HOSPITAL SANTA TERESA,PETROPOLIS,3,0,RIO DE JANEIRO
3947262,HOSPITAL CASA SANTA CRUZ HOSPITAL GERAL ADMINISTRACAO E GE,RIO DE JANEIRO,10,0,RIO DE JANEIRO
7659415,HOSPITAL OESTE DOR,RIO DE JANEIRO,7,0,RIO DE JANEIRO
3034984,HOSPITAL QUINTA DOR,RIO DE JANEIRO,10,0,RIO DE JANEIRO
9151583,HOSPITAL REAL DOR,RIO DE JANEIRO,8,0,RIO DE JANEIRO
7642423,HOSPITAL VITORIA AMC,RIO DE JANEIRO,16,0,RIO DE JANEIRO
2269880,MS HGB HOSPITAL GERAL DE BONSUCESSO,RIO DE JANEIRO,11,4,RIO DE JANEIRO
2269988,MS HSE HOSPITAL DOS SERVIDORES DO ESTADO,RIO DE JANEIRO,8,8,RIO DE JANEIRO
2280132,MS INC INSTITUTO NACIONAL DE CARDIOLOGIA,RIO DE JANEIRO,10,0,RIO DE JANEIRO
