Município,2013,2014,2015,2016,2017,2018,2019,2020,2021,Total
 MUNICIPIO IGNORADO - RO,-,1,-,-,-,-,-,-,-,1
110001 ALTA FLORESTA D'OESTE,198,185,98,102,132,206,158,174,161,1414
110002 ARIQUEMES,2060,1918,2129,1994,2320,2452,2579,2330,2416,20198
110003 CABIXI,66,15,6,1,3,-,-,2,1,94
110004 CACOAL,1449,1540,1601,1706,1825,1923,1812,1746,1742,15344
110005 CEREJEIRAS,257,192,194,85,76,110,64,161,150,1289
110006 COLORADO DO OESTE,90,134,8,5,5,3,6,9,5,265
110007 CORUMBIARA,-,-,1,-,-,1,1,3,2,8
110008 COSTA MARQUES,150,107,52,14,45,35,27,28,41,499
110009 ESPIGAO D'OESTE,345,437,513,451,518,471,462,500,575,4272
110010 GUAJARA-MIRIM,903,1026,983,1037,1122,1169,997,1097,1129,9463
110011 JARU,987,869,712,776,918,951,937,907,812,7869
110012 JI-PARANA,2314,2576,2789,2606,2423,2430,2409,2272,2087,21906
110013 MACHADINHO D'OESTE,468,396,302,62,144,383,341,433,325,2854
110014 NOVA BRASILANDIA D'OESTE,263,234,200,216,92,217,305,28,161,1716
110015 OURO PRETO DO OESTE,1190,1135,1176,1083,1063,1199,1169,1224,1358,10597
110018 PIMENTA BUENO,913,830,867,833,853,786,683,716,703,7184
110020 PORTO VELHO,10015,10254,10336,10016,9906,9783,9286,8570,8257,86423
110025 PRESIDENTE MEDICI,41,25,10,144,229,236,188,152,166,1191
110026 RIO CRESPO,-,-,1,2,-,3,1,-,1,8
110028 ROLIM DE MOURA,1246,1280,1410,1217,1391,1239,1312,1193,1125,11413
110029 SANTA LUZIA D'OESTE,11,13,3,1,1,-,1,2,-,32
110030 VILHENA,1923,2051,2290,2230,2270,2371,2300,2092,2130,19657
110032 SAO MIGUEL DO GUAPORE,270,286,242,315,374,406,303,477,320,2993
110033 NOVA MAMORE,293,203,15,22,23,17,21,15,18,627
110034 ALVORADA D'OESTE,212,24,11,11,13,13,63,138,143,628
110037 ALTO ALEGRE DOS PARECIS,-,1,4,2,-,1,2,1,2,13
110040 ALTO PARAISO,11,10,4,7,13,8,10,7,12,82
110045 BURITIS,877,1071,1121,1024,958,865,810,770,800,8296
110050 NOVO HORIZONTE DO OESTE,-,-,1,-,-,-,-,-,-,1
110060 CACAULANDIA,-,1,2,1,-,-,3,4,-,11
110070 CAMPO NOVO DE RONDONIA,6,2,-,2,2,5,5,3,3,28
110080 CANDEIAS DO JAMARI,2,3,3,5,10,7,3,1,6,40
110090 CASTANHEIRAS,-,-,-,-,-,-,-,-,1,1
110092 CHUPINGUAIA,2,3,3,-,3,7,6,5,9,38
