Município,Vaginal,Cesário,Ignorado,Total
 MUNICIPIO IGNORADO - RO,1,-,-,1
110001 ALTA FLORESTA D'OESTE,386,1025,3,1414
110002 ARIQUEMES,5955,14230,13,20198
110003 CABIXI,18,75,1,94
110004 CACOAL,2979,12365,-,15344
110005 CEREJEIRAS,204,1077,8,1289
110006 COLORADO DO OESTE,58,207,-,265
110007 CORUMBIARA,8,-,-,8
110008 COSTA MARQUES,375,119,5,499
110009 ESPIGAO D'OESTE,617,3654,1,4272
110010 GUAJARA-MIRIM,5617,3844,2,9463
110011 JARU,2221,5624,24,7869
110012 JI-PARANA,8233,13650,23,21906
110013 MACHADINHO D'OESTE,1353,1474,27,2854
110014 NOVA BRASILANDIA D'OESTE,107,1609,-,1716
110015 OURO PRETO DO OESTE,1741,8836,20,10597
110018 PIMENTA BUENO,664,6519,1,7184
110020 PORTO VELHO,38852,47341,230,86423
110025 PRESIDENTE MEDICI,326,865,-,1191
110026 RIO CRESPO,8,-,-,8
110028 ROLIM DE MOURA,1479,9929,5,11413
110029 SANTA LUZIA D'OESTE,10,21,1,32
110030 VILHENA,4980,14676,1,19657
110032 SAO MIGUEL DO GUAPORE,395,2597,1,2993
110033 NOVA MAMORE,379,245,3,627
110034 ALVORADA D'OESTE,196,428,4,628
110037 ALTO ALEGRE DOS PARECIS,13,-,-,13
110040 ALTO PARAISO,82,-,-,82
110045 BURITIS,1348,6931,17,8296
110050 NOVO HORIZONTE DO OESTE,1,-,-,1
110060 CACAULANDIA,11,-,-,11
110070 CAMPO NOVO DE RONDONIA,28,-,-,28
110080 CANDEIAS DO JAMARI,40,-,-,40
110090 CASTANHEIRAS,1,-,-,1
110092 CHUPINGUAIA,38,-,-,38
110094 CUJUBIM,105,-,-,105
110100 GOVERNADOR JORGE TEIXEIRA,15,-,-,15
110110 ITAPUA DO OESTE,90,1,1,92
110120 MINISTRO ANDREAZZA,4,-,-,4
110130 MIRANTE DA SERRA,49,1073,6,1128
110140 MONTE NEGRO,83,408,1,492
110143 NOVA UNIAO,4,49,1,54
110145 PARECIS,1,-,-,1
110146 PIMENTEIRAS DO OESTE,8,-,-,8
110148 SAO FELIPE D'OESTE,9,-,-,9
110149 SAO FRANCISCO DO GUAPORE,855,2903,5,3763
110150 SERINGUEIRAS,196,474,3,673
110160 THEOBROMA,5,-,-,5
110170 URUPA,24,8,-,32
110175 VALE DO ANARI,20,-,-,20
110180 VALE DO PARAISO,2,-,-,2
120001 ACRELANDIA,200,-,-,200
120005 ASSIS BRASIL,910,-,30,940
120010 BRASILEIA,4018,3664,4,7686
120013 BUJARI,7,-,-,7
120017 CAPIXABA,15,-,1,16
120020 CRUZEIRO DO SUL,14257,12509,27,26793
120025 EPITACIOLANDIA,11,-,1,12
120030 FEIJO,5494,1020,33,6547
120032 JORDAO,1684,-,9,1693
120033 MANCIO LIMA,847,1,24,872
120034 MANOEL URBANO,1172,1,21,1194
120035 MARECHAL THAUMATURGO,2210,2,19,2231
120038 PLACIDO DE CASTRO,378,1,1,380
120039 PORTO WALTER,1158,1,3,1162
120040 RIO BRANCO,41974,41167,1,83142
120042 RODRIGUES ALVES,553,1,22,576
120043 SANTA ROSA DO PURUS,1087,1,11,1099
120045 SENADOR GUIOMARD,339,-,3,342
120050 SENA MADUREIRA,4566,2186,2,6754
120060 TARAUACA,6947,3773,45,10765
120070 XAPURI,996,1,5,1002
120080 PORTO ACRE,7,-,6,13
130002 ALVARAES,2223,690,2,2915
130006 AMATURA,1985,194,1,2180
130008 ANAMA,1143,391,5,1539
130010 ANORI,1406,735,2,2143
130014 APUI,1401,920,4,2325
130020 ATALAIA DO NORTE,2554,10,-,2564
130030 AUTAZES,5427,1878,9,7314
130040 BARCELOS,3659,749,13,4421
130050 BARREIRINHA,4358,1190,2,5550
130060 BENJAMIN CONSTANT,7310,1402,1,8713
130063 BERURI,3600,325,-,3925
130068 BOA VISTA DO RAMOS,1984,662,-,2646
130070 BOCA DO ACRE,2865,2026,3,4894
130080 BORBA,4146,1268,-,5414
130083 CAAPIRANGA,853,383,4,1240
130090 CANUTAMA,1053,810,3,1866
130100 CARAUARI,3905,1718,18,5641
130110 CAREIRO,1342,718,-,2060
130115 CAREIRO DA VARZEA,241,-,1,242
130120 COARI,10038,4945,7,14990
130130 CODAJAS,2655,1034,14,3703
130140 EIRUNEPE,5021,2285,-,7306
130150 ENVIRA,2084,1197,-,3281
130160 FONTE BOA,3638,1885,-,5523
130165 GUAJARA,393,1,25,419
130170 HUMAITA,5083,3880,1,8964
130180 IPIXUNA,2648,698,12,3358
130185 IRANDUBA,1185,36,6,1227
130190 ITACOATIARA,13131,5599,2,18732
130195 ITAMARATI,1826,549,6,2381
130200 ITAPIRANGA,1133,229,-,1362
130210 JAPURA,1007,3,1,1011
130220 JURUA,1198,596,16,1810
130230 JUTAI,5117,561,2,5680
130240 LABREA,4521,2143,5,6669
130250 MANACAPURU,12054,5731,-,17785
