Município	Sint sinais e achad anorm,exc morte súbita infânci	Doenças do aparelho circulatório, mal definidas	Doenças do aparelho respiratório, mal definidas	Afecções originad período perinatal, mal definidas	Total
TOTAL	6.772	37	529	3.079	10.417
110002 ARIQUEMES	5	-	-	2	7
110004 CACOAL	-	-	-	4	4
110006 COLORADO DO OESTE	1	-	-	-	1
110008 COSTA MARQUES	-	-	-	1	1
110009 ESPIGAO D'OESTE	2	1	1	2	6
110010 GUAJARA-MIRIM	8	-	-	-	8
110011 JARU	6	-	-	-	6
110012 JI-PARANA	1	-	-	4	5
110015 OURO PRETO DO OESTE	3	-	-	1	4
110018 PIMENTA BUENO	1	-	-	-	1
110020 PORTO VELHO	26	-	2	2	30
110025 PRESIDENTE MEDICI	2	-	-	-	2
110028 ROLIM DE MOURA	6	-	-	1	7
110030 VILHENA	2	-	-	1	3
110032 SAO MIGUEL DO GUAPORE	-	-	-	2	2
110033 NOVA MAMORE	3	-	1	-	4
110034 ALVORADA D'OESTE	1	-	-	-	1
110037 ALTO ALEGRE DOS PARECIS	1	-	-	-	1
110040 ALTO PARAISO	1	-	-	-	1
110045 BURITIS	-	-	-	1	1
110080 CANDEIAS DO JAMARI	1	-	-	-	1
110094 CUJUBIM	1	-	-	-	1
110120 MINISTRO ANDREAZZA	2	-	-	-	2
110145 PARECIS	1	-	-	-	1
110175 VALE DO ANARI	1	-	-	-	1
120001 ACRELANDIA	-	-	-	1	1
120005 ASSIS BRASIL	3	-	1	-	4
120010 BRASILEIA	4	-	-	5	9
120020 CRUZEIRO DO SUL	2	-	-	1	3
120025 EPITACIOLANDIA	1	-	-	-	1
120030 FEIJO	14	-	-	-	14
120032 JORDAO	1	-	-	1	2
120033 MANCIO LIMA	2	-	-	-	2
120034 MANOEL URBANO	1	-	-	1	2
120035 MARECHAL THAUMATURGO	2	1	2	1	6
120038 PLACIDO DE CASTRO	3	-	-	-	3
120039 PORTO WALTER	1	-	-	-	1
120040 RIO BRANCO	21	-	4	27	52
120042 RODRIGUES ALVES	2	-	-	-	2
120043 SANTA ROSA DO PURUS	2	-	-	1	3
120050 SENA MADUREIRA	2	-	-	-	2
120060 TARAUACA	7	-	2	6	15
130002 ALVARAES	5	-	-	1	6
130006 AMATURA	2	-	-	1	3
130008 ANAMA	2	-	-	-	2
130010 ANORI	1	-	-	-	1
130014 APUI	-	-	-	1	1
130020 ATALAIA DO NORTE	1	-	2	1	4
130030 AUTAZES	9	-	-	2	11
130040 BARCELOS	10	-	-	1	11
130050 BARREIRINHA	8	-	2	-	10
130060 BENJAMIN CONSTANT	6	-	1	1	8
130063 BERURI	3	-	-	-	3
130068 BOA VISTA DO RAMOS	-	-	-	2	2
130070 BOCA DO ACRE	4	-	-	2	6
130080 BORBA	2	-	-	2	4
130090 CANUTAMA	-	-	1	2	3
130100 CARAUARI	8	-	-	1	9
130110 CAREIRO	4	-	-	-	4
130120 COARI	1	-	1	1	3
130130 CODAJAS	3	-	1	1	5
130140 EIRUNEPE	8	-	-	1	9
130150 ENVIRA	-	-	-	2	2
130165 GUAJARA	3	-	-	-	3
130170 HUMAITA	7	-	-	-	7
130180 IPIXUNA	19	-	-	6	25
130185 IRANDUBA	4	-	-	-	4
130190 ITACOATIARA	12	-	-	3	15
130195 ITAMARATI	5	-	-	-	5
130210 JAPURA	3	-	-	-	3
130220 JURUA	1	-	-	-	1
130230 JUTAI	15	-	-	4	19
130240 LABREA	7	-	-	3	10
130250 MANACAPURU	6	-	-	6	12
130255 MANAQUIRI	3	-	-	-	3
130260 MANAUS	139	-	4	6	149
130270 MANICORE	14	-	-	7	21
130280 MARAA	2	-	-	1	3
130290 MAUES	22	-	1	3	26
130310 NOVA OLINDA DO NORTE	3	-	-	-	3
130320 NOVO AIRAO	2	-	-	-	2
130330 NOVO ARIPUANA	3	-	-	3	6
