Município,Vaginal,Cesário,Ignorado
 MUNICIPIO IGNORADO - RO,1,-,-
110001 ALTA FLORESTA D'OESTE,2,-,3
110002 ARIQUEMES,85,76,41
110003 CABIXI,1,-,-
110004 CACOAL,56,78,7
110005 CEREJEIRAS,-,2,-
110006 COLORADO DO OESTE,2,-,-
110007 CORUMBIARA,1,-,-
110008 COSTA MARQUES,5,-,-
110009 ESPIGAO D'OESTE,6,7,8
110010 GUAJARA-MIRIM,40,13,11
110011 JARU,9,10,5
110012 JI-PARANA,47,49,17
110013 MACHADINHO D'OESTE,3,7,7
110014 NOVA BRASILANDIA D'OESTE,1,2,-
110015 OURO PRETO DO OESTE,25,21,3
110018 PIMENTA BUENO,10,12,3
110020 PORTO VELHO,957,1095,143
110025 PRESIDENTE MEDICI,5,2,2
110028 ROLIM DE MOURA,16,17,4
110029 SANTA LUZIA D'OESTE,-,1,-
110030 VILHENA,34,45,10
110032 SAO MIGUEL DO GUAPORE,6,7,-
110033 NOVA MAMORE,6,3,4
110034 ALVORADA D'OESTE,2,1,-
110037 ALTO ALEGRE DOS PARECIS,1,1,1
110040 ALTO PARAISO,2,-,5
110045 BURITIS,7,7,7
110050 NOVO HORIZONTE DO OESTE,-,1,1
110070 CAMPO NOVO DE RONDONIA,-,1,-
110080 CANDEIAS DO JAMARI,4,4,2
110092 CHUPINGUAIA,1,-,-
110094 CUJUBIM,3,-,1
110110 ITAPUA DO OESTE,-,1,-
110120 MINISTRO ANDREAZZA,-,1,1
110130 MIRANTE DA SERRA,1,2,1
110145 PARECIS,-,2,-
110148 SAO FELIPE D'OESTE,-,-,1
110149 SAO FRANCISCO DO GUAPORE,14,16,2
110150 SERINGUEIRAS,1,1,-
110160 THEOBROMA,-,-,1
110175 VALE DO ANARI,1,1,-
120001 ACRELANDIA,1,-,1
120005 ASSIS BRASIL,2,-,8
120010 BRASILEIA,16,14,20
120013 BUJARI,-,-,1
120017 CAPIXABA,1,-,2
120020 CRUZEIRO DO SUL,190,102,88
120025 EPITACIOLANDIA,1,-,1
120030 FEIJO,72,14,47
120032 JORDAO,12,-,4
120033 MANCIO LIMA,-,-,3
120034 MANOEL URBANO,22,-,13
120035 MARECHAL THAUMATURGO,27,1,3
120038 PLACIDO DE CASTRO,3,-,1
120039 PORTO WALTER,5,-,3
120040 RIO BRANCO,680,699,231
120042 RODRIGUES ALVES,5,-,8
120043 SANTA ROSA DO PURUS,15,-,12
120045 SENADOR GUIOMARD,1,1,1
120050 SENA MADUREIRA,25,7,9
120060 TARAUACA,81,60,15
120070 XAPURI,4,1,3
120080 PORTO ACRE,1,-,-
130002 ALVARAES,13,8,1
130006 AMATURA,48,5,1
130008 ANAMA,6,1,-
130010 ANORI,12,7,6
130014 APUI,14,15,2
130020 ATALAIA DO NORTE,54,-,5
130030 AUTAZES,37,7,10
130040 BARCELOS,111,11,43
130050 BARREIRINHA,40,7,2
