Município,Menor de 10 anos,10 a 14 anos,15 a 19 anos,20 a 24 anos,25 a 29 anos,30 a 34 anos,35 a 39 anos,40 a 44 anos,45 a 49 anos,50 a 54 anos,55 a 59 anos,60 a 64 anos,Idade ignorada,Total
TOTAL,4,2.970,41.640,58.383,53.762,47.749,34.153,12.854,1.137,47,5,1,23.358,276.063
110001 ALTA FLORESTA D'OESTE,-,-,1,2,7,2,-,-,-,-,-,-,-,12
110002 ARIQUEMES,-,2,23,39,27,13,19,6,-,-,-,-,29,158
110004 CACOAL,-,1,12,30,28,25,17,4,-,-,-,-,19,136
110005 CEREJEIRAS,-,-,1,2,-,1,-,1,-,-,-,-,2,7
110006 COLORADO DO OESTE,-,-,-,-,-,1,-,-,-,-,-,-,-,1
110007 CORUMBIARA,-,-,-,-,-,-,-,1,-,-,-,-,-,1
110008 COSTA MARQUES,-,-,1,-,-,-,-,-,-,-,-,-,-,1
110009 ESPIGAO D'OESTE,-,1,6,6,5,4,3,2,-,-,-,-,6,33
110010 GUAJARA-MIRIM,-,1,14,21,9,14,11,-,-,-,-,-,8,78
110011 JARU,-,2,15,26,18,5,5,4,-,-,-,-,7,82
110012 JI-PARANA,-,-,29,34,30,17,17,5,-,-,-,-,36,168
110013 MACHADINHO D'OESTE,-,-,4,6,2,2,1,-,-,-,-,-,5,20
110014 NOVA BRASILANDIA D'OESTE,-,-,3,2,5,-,1,-,-,-,-,-,2,13
110015 OURO PRETO DO OESTE,-,1,13,15,21,14,6,2,-,-,-,-,18,90
110018 PIMENTA BUENO,-,1,5,8,3,5,2,1,-,-,-,-,1,26
110020 PORTO VELHO,-,8,163,220,182,144,120,26,2,-,-,-,91,956
110025 PRESIDENTE MEDICI,-,-,-,1,-,1,2,-,-,-,-,-,-,4
110028 ROLIM DE MOURA,-,-,14,25,21,9,6,6,-,-,-,-,18,99
110029 SANTA LUZIA D'OESTE,-,-,-,-,1,-,-,-,-,-,-,-,-,1
110030 VILHENA,-,3,23,60,48,29,16,8,-,-,-,-,12,199
110032 SAO MIGUEL DO GUAPORE,-,1,-,2,4,3,3,-,1,-,-,-,3,17
110033 NOVA MAMORE,-,-,1,1,-,-,-,-,-,-,-,-,4,6
110034 ALVORADA D'OESTE,-,-,2,-,-,1,-,-,-,-,-,-,-,3
110040 ALTO PARAISO,-,1,1,1,-,2,-,-,-,-,-,-,-,5
110045 BURITIS,-,1,10,15,8,8,3,1,-,-,-,-,17,63
110080 CANDEIAS DO JAMARI,-,-,1,-,-,-,-,-,-,-,-,-,1,2
110090 CASTANHEIRAS,-,-,-,-,-,-,-,-,-,-,-,-,1,1
110092 CHUPINGUAIA,-,-,1,-,-,-,-,-,-,-,-,-,-,1
110094 CUJUBIM,-,-,1,3,2,-,2,-,-,-,-,-,-,8
110100 GOVERNADOR JORGE TEIXEIRA,-,-,-,-,1,1,-,-,-,-,-,-,-,2
110110 ITAPUA DO OESTE,-,-,-,-,-,-,1,-,-,-,-,-,-,1
110130 MIRANTE DA SERRA,-,-,-,1,-,1,-,-,-,-,-,-,2,4
110140 MONTE NEGRO,-,-,-,-,-,-,-,-,-,-,-,-,2,2
110143 NOVA UNIAO,-,-,1,1,-,-,-,-,-,-,-,-,-,2
110149 SAO FRANCISCO DO GUAPORE,-,1,7,4,10,4,1,-,-,-,-,-,2,29
110150 SERINGUEIRAS,-,-,1,-,-,1,1,-,-,-,-,-,-,3
110170 URUPA,-,-,-,-,-,1,-,-,-,-,-,-,2,3
110175 VALE DO ANARI,-,-,1,-,-,-,-,-,-,-,-,-,-,1
110180 VALE DO PARAISO,-,-,-,1,-,-,-,-,-,-,-,-,-,1
120001 ACRELANDIA,-,-,1,-,1,-,-,-,-,-,-,-,-,2
120005 ASSIS BRASIL,-,1,2,4,1,-,2,-,-,-,-,-,4,14
120010 BRASILEIA,-,3,18,15,12,13,11,2,-,-,-,-,23,97
120017 CAPIXABA,-,-,-,-,-,-,-,-,-,-,-,-,1,1
120020 CRUZEIRO DO SUL,-,9,63,50,47,54,29,17,1,-,-,-,36,306
120025 EPITACIOLANDIA,-,-,-,-,-,1,-,-,-,-,-,-,2,3
