Município,Menos de 500g,500 a 999g,1000 a 1499 g,1500 a 2499 g,2500 a 2999 g,3000 a 3999 g,4000g e mais,Ignorado,Total
TOTAL,21.008,64.767,39.460,65.045,27.684,31.593,7.243,19.263,276.063
110001 ALTA FLORESTA D'OESTE,1,4,4,2,-,1,-,-,12
110002 ARIQUEMES,4,38,22,42,16,20,3,13,158
110004 CACOAL,2,38,20,35,19,17,1,4,136
110005 CEREJEIRAS,-,4,-,2,-,-,1,-,7
110006 COLORADO DO OESTE,-,-,1,-,-,-,-,-,1
110007 CORUMBIARA,1,-,-,-,-,-,-,-,1
110008 COSTA MARQUES,-,1,-,-,-,-,-,-,1
110009 ESPIGAO D'OESTE,2,8,3,8,4,2,-,6,33
110010 GUAJARA-MIRIM,2,16,4,22,13,12,3,6,78
110011 JARU,3,24,7,20,11,11,2,4,82
110012 JI-PARANA,2,27,23,42,18,18,4,34,168
110013 MACHADINHO D'OESTE,-,3,2,5,1,3,2,4,20
110014 NOVA BRASILANDIA D'OESTE,2,1,4,1,2,2,-,1,13
110015 OURO PRETO DO OESTE,5,17,13,28,8,10,-,9,90
110018 PIMENTA BUENO,4,6,3,9,-,2,-,2,26
110020 PORTO VELHO,10,257,190,253,79,106,19,42,956
110025 PRESIDENTE MEDICI,-,-,1,1,1,1,-,-,4
110028 ROLIM DE MOURA,6,15,11,24,19,13,3,8,99
110029 SANTA LUZIA D'OESTE,-,-,-,1,-,-,-,-,1
110030 VILHENA,14,47,25,48,30,17,7,11,199
110032 SAO MIGUEL DO GUAPORE,2,6,4,1,1,2,-,1,17
110033 NOVA MAMORE,-,3,1,-,-,-,-,2,6
110034 ALVORADA D'OESTE,-,-,-,1,-,1,-,1,3
110040 ALTO PARAISO,-,3,1,-,-,1,-,-,5
110045 BURITIS,-,8,19,14,7,4,1,10,63
110080 CANDEIAS DO JAMARI,-,-,-,1,-,-,-,1,2
110090 CASTANHEIRAS,-,-,-,-,1,-,-,-,1
110092 CHUPINGUAIA,-,1,-,-,-,-,-,-,1
110094 CUJUBIM,1,2,-,2,-,2,-,1,8
110100 GOVERNADOR JORGE TEIXEIRA,-,1,-,-,-,1,-,-,2
110110 ITAPUA DO OESTE,-,-,-,-,1,-,-,-,1
110130 MIRANTE DA SERRA,-,-,-,2,-,1,1,-,4
110140 MONTE NEGRO,-,-,1,-,-,-,-,1,2
110143 NOVA UNIAO,-,1,1,-,-,-,-,-,2
110149 SAO FRANCISCO DO GUAPORE,1,6,3,9,2,4,1,3,29
110150 SERINGUEIRAS,1,1,-,-,-,1,-,-,3
110170 URUPA,-,1,-,-,-,-,-,2,3
110175 VALE DO ANARI,-,-,-,-,-,-,-,1,1
110180 VALE DO PARAISO,-,-,-,-,-,-,1,-,1
120001 ACRELANDIA,-,-,-,1,-,1,-,-,2
120005 ASSIS BRASIL,-,1,-,3,2,2,3,3,14
120010 BRASILEIA,3,17,8,19,8,14,1,27,97
120017 CAPIXABA,-,-,-,-,-,-,-,1,1
120020 CRUZEIRO DO SUL,4,63,39,86,38,46,7,23,306
120025 EPITACIOLANDIA,-,1,-,-,-,-,-,2,3
120030 FEIJO,6,22,10,23,10,10,7,6,94
120032 JORDAO,-,1,-,3,1,4,1,2,12
120033 MANCIO LIMA,-,-,-,1,-,1,-,1,3
120034 MANOEL URBANO,-,1,-,4,1,3,-,2,11
120035 MARECHAL THAUMATURGO,-,3,1,2,-,4,-,-,10
120038 PLACIDO DE CASTRO,-,1,-,1,2,-,-,2,6
120039 PORTO WALTER,-,2,3,4,2,7,-,1,19
120040 RIO BRANCO,3,217,149,253,107,117,23,32,901
120042 RODRIGUES ALVES,-,-,1,-,1,-,-,2,4
120043 SANTA ROSA DO PURUS,-,-,1,3,2,3,-,3,12
120045 SENADOR GUIOMARD,1,3,-,1,-,3,-,1,9
120050 SENA MADUREIRA,3,9,8,7,7,15,3,10,62
120060 TARAUACA,3,12,18,38,18,25,8,11,133
120070 XAPURI,-,-,4,3,1,2,1,-,11
120080 PORTO ACRE,-,1,-,1,-,-,-,2,4
130002 ALVARAES,1,-,-,6,5,4,1,-,17
130006 AMATURA,1,2,2,12,3,1,2,1,24
130008 ANAMA,-,1,1,5,1,3,-,-,11
130010 ANORI,-,-,-,4,7,6,-,3,20
130014 APUI,-,2,3,5,6,6,2,1,25
130020 ATALAIA DO NORTE,6,3,2,3,10,10,2,7,43
130030 AUTAZES,3,16,9,22,8,17,2,10,87
130040 BARCELOS,2,2,4,7,2,6,-,5,28
130050 BARREIRINHA,-,10,9,17,13,16,1,-,66
130060 BENJAMIN CONSTANT,5,14,15,17,11,21,2,7,92
130063 BERURI,-,2,2,8,5,8,4,1,30
130068 BOA VISTA DO RAMOS,-,6,3,6,4,4,2,1,26
130070 BOCA DO ACRE,3,11,3,9,3,7,2,-,38
