Município,Nenhuma,1 a 3 anos,4 a 7 anos,8 a 11 anos,12 anos e mais,Ignorado,Total
TOTAL,11.192,14.692,60.771,138.174,38.200,58.895,321.924
MUNICIPIO IGNORADO - RO,-,-,1,-,-,-,1
110001 ALTA FLORESTA D'OESTE,2,-,-,-,-,3,5
110002 ARIQUEMES,17,13,47,44,9,72,202
110003 CABIXI,-,-,-,-,1,-,1
110004 CACOAL,11,2,25,73,19,11,141
110005 CEREJEIRAS,1,-,-,1,-,-,2
110006 COLORADO DO OESTE,-,-,-,2,-,-,2
110007 CORUMBIARA,-,-,1,-,-,-,1
110008 COSTA MARQUES,-,-,3,1,-,1,5
110009 ESPIGAO D'OESTE,3,-,7,4,1,6,21
110010 GUAJARA-MIRIM,1,5,14,27,4,13,64
110011 JARU,2,1,5,9,2,5,24
110012 JI-PARANA,11,2,23,42,7,28,113
110013 MACHADINHO D'OESTE,-,1,3,8,-,5,17
110014 NOVA BRASILANDIA D'OESTE,-,1,1,1,-,-,3
110015 OURO PRETO DO OESTE,4,1,6,16,14,8,49
110018 PIMENTA BUENO,1,-,4,14,3,3,25
110020 PORTO VELHO,58,149,370,684,229,705,2.195
110025 PRESIDENTE MEDICI,-,-,4,3,-,2,9
110028 ROLIM DE MOURA,4,2,11,9,3,8,37
110029 SANTA LUZIA D'OESTE,-,-,1,-,-,-,1
110030 VILHENA,6,1,12,50,9,11,89
110032 SAO MIGUEL DO GUAPORE,1,-,2,8,2,-,13
110033 NOVA MAMORE,1,-,1,4,1,6,13
110034 ALVORADA D'OESTE,-,1,-,1,-,1,3
110037 ALTO ALEGRE DOS PARECIS,-,-,2,-,-,1,3
110040 ALTO PARAISO,1,-,1,2,-,3,7
110045 BURITIS,1,1,5,7,1,6,21
110050 NOVO HORIZONTE DO OESTE,-,-,-,-,-,2,2
110070 CAMPO NOVO DE RONDONIA,-,-,-,1,-,-,1
110080 CANDEIAS DO JAMARI,2,-,4,2,-,2,10
110092 CHUPINGUAIA,-,-,-,1,-,-,1
110094 CUJUBIM,-,-,1,1,-,2,4
110110 ITAPUA DO OESTE,-,-,-,1,-,-,1
110120 MINISTRO ANDREAZZA,-,-,2,-,-,-,2
110130 MIRANTE DA SERRA,-,-,-,1,-,3,4
110145 PARECIS,-,-,-,-,2,-,2
110148 SAO FELIPE D'OESTE,-,-,-,-,-,1,1
110149 SAO FRANCISCO DO GUAPORE,1,2,4,12,5,8,32
110150 SERINGUEIRAS,-,-,-,2,-,-,2
110160 THEOBROMA,-,-,-,-,-,1,1
110175 VALE DO ANARI,-,1,-,1,-,-,2
120001 ACRELANDIA,-,1,-,-,-,1,2
120005 ASSIS BRASIL,3,1,2,-,-,4,10
120010 BRASILEIA,4,7,5,11,1,22,50
120013 BUJARI,-,-,1,-,-,-,1
120017 CAPIXABA,-,-,1,1,-,1,3
120020 CRUZEIRO DO SUL,34,11,62,146,25,102,380
