Município,Antes do parto,Durante o parto,Após o parto,Ignorado,Total
TOTAL,249.507,11.417,33,15.105,276.062
110001 ALTA FLORESTA D'OESTE,10,2,-,-,12
110002 ARIQUEMES,146,7,-,5,158
110004 CACOAL,129,7,-,-,136
110005 CEREJEIRAS,7,-,-,-,7
110006 COLORADO DO OESTE,-,-,-,1,1
110007 CORUMBIARA,-,1,-,-,1
110008 COSTA MARQUES,1,-,-,-,1
110009 ESPIGAO D'OESTE,25,3,-,5,33
110010 GUAJARA-MIRIM,76,2,-,-,78
110011 JARU,75,4,-,3,82
110012 JI-PARANA,149,2,-,17,168
110013 MACHADINHO D'OESTE,13,6,-,1,20
110014 NOVA BRASILANDIA D'OESTE,13,-,-,-,13
110015 OURO PRETO DO OESTE,82,3,-,5,90
110018 PIMENTA BUENO,23,3,-,-,26
110020 PORTO VELHO,912,23,-,21,956
110025 PRESIDENTE MEDICI,4,-,-,-,4
110028 ROLIM DE MOURA,91,4,-,4,99
110029 SANTA LUZIA D'OESTE,1,-,-,-,1
110030 VILHENA,189,7,-,3,199
110032 SAO MIGUEL DO GUAPORE,15,2,-,-,17
110033 NOVA MAMORE,4,-,-,2,6
110034 ALVORADA D'OESTE,2,-,-,1,3
110040 ALTO PARAISO,3,2,-,-,5
110045 BURITIS,55,4,-,4,63
110080 CANDEIAS DO JAMARI,1,-,-,1,2
110090 CASTANHEIRAS,1,-,-,-,1
110092 CHUPINGUAIA,-,-,-,1,1
110094 CUJUBIM,7,-,-,1,8
110100 GOVERNADOR JORGE TEIXEIRA,1,1,-,-,2
110110 ITAPUA DO OESTE,1,-,-,-,1
110130 MIRANTE DA SERRA,4,-,-,-,4
110140 MONTE NEGRO,-,-,-,2,2
110143 NOVA UNIAO,2,-,-,-,2
110149 SAO FRANCISCO DO GUAPORE,26,1,-,2,29
110150 SERINGUEIRAS,2,-,-,1,3
110170 URUPA,1,-,-,2,3
110175 VALE DO ANARI,-,-,-,1,1
110180 VALE DO PARAISO,-,-,-,1,1
120001 ACRELANDIA,1,-,-,1,2
120005 ASSIS BRASIL,10,2,-,2,14
120010 BRASILEIA,75,6,-,16,97
120017 CAPIXABA,-,-,-,1,1
120020 CRUZEIRO DO SUL,267,13,-,26,306
120025 EPITACIOLANDIA,-,-,-,3,3
120030 FEIJO,83,3,-,8,94
120032 JORDAO,8,4,-,-,12
120033 MANCIO LIMA,3,-,-,-,3
120034 MANOEL URBANO,7,1,-,3,11
120035 MARECHAL THAUMATURGO,7,2,-,1,10
120038 PLACIDO DE CASTRO,2,1,-,3,6
120039 PORTO WALTER,15,4,-,-,19
120040 RIO BRANCO,829,42,-,30,901
120042 RODRIGUES ALVES,2,-,-,2,4
120043 SANTA ROSA DO PURUS,8,1,-,3,12
120045 SENADOR GUIOMARD,5,3,-,1,9
120050 SENA MADUREIRA,39,4,-,19,62
120060 TARAUACA,125,4,-,4,133
120070 XAPURI,5,4,-,2,11
120080 PORTO ACRE,2,1,-,1,4
130002 ALVARAES,13,4,-,-,17
130006 AMATURA,20,4,-,-,24
130008 ANAMA,10,1,-,-,11
130010 ANORI,18,-,-,2,20
130014 APUI,23,1,-,1,25
130020 ATALAIA DO NORTE,27,14,-,2,43
130030 AUTAZES,72,9,-,6,87
130040 BARCELOS,23,3,-,2,28
130050 BARREIRINHA,57,9,-,-,66
130060 BENJAMIN CONSTANT,84,7,-,1,92
130063 BERURI,26,4,-,-,30
130068 BOA VISTA DO RAMOS,23,3,-,-,26
130070 BOCA DO ACRE,37,1,-,-,38
130080 BORBA,53,5,-,2,60
130083 CAAPIRANGA,7,-,-,-,7
130090 CANUTAMA,19,10,-,-,29
130100 CARAUARI,75,9,-,4,88
130110 CAREIRO,9,3,-,2,14
130115 CAREIRO DA VARZEA,1,-,-,-,1
130120 COARI,175,11,-,-,186
130130 CODAJAS,21,3,1,1,26
130140 EIRUNEPE,94,11,-,5,110
130150 ENVIRA,34,3,-,-,37
130160 FONTE BOA,39,2,-,1,42
130165 GUAJARA,6,-,-,-,6
130170 HUMAITA,79,3,-,-,82
130180 IPIXUNA,37,9,-,5,51
130185 IRANDUBA,11,-,1,2,14
130190 ITACOATIARA,222,21,-,5,248
130195 ITAMARATI,9,10,-,-,19
130200 ITAPIRANGA,21,1,1,-,23
130210 JAPURA,8,1,-,1,10
130220 JURUA,9,2,-,1,12
130230 JUTAI,33,9,-,2,44
130240 LABREA,77,9,-,4,90
130250 MANACAPURU,161,19,-,13,193
130255 MANAQUIRI,8,2,-,-,10
130260 MANAUS,4.303,127,1,75,4.506
130270 MANICORE,86,11,-,1,98
130280 MARAA,18,1,-,-,19
130290 MAUES,129,10,-,-,139
130300 NHAMUNDA,19,2,-,1,22
130310 NOVA OLINDA DO NORTE,53,1,-,1,55
130320 NOVO AIRAO,8,4,-,3,15
130330 NOVO ARIPUANA,19,1,-,-,20
130340 PARINTINS,236,10,-,1,247
130350 PAUINI,34,1,-,-,35
130353 PRESIDENTE FIGUEIREDO,17,2,-,1,20
130356 RIO PRETO DA EVA,8,-,-,1,9
130360 SANTA ISABEL DO RIO NEGRO,22,2,-,-,24
130370 SANTO ANTONIO DO ICA,60,11,-,-,71
130380 SAO GABRIEL DA CACHOEIRA,159,43,-,16,218
130390 SAO PAULO DE OLIVENCA,73,16,-,5,94
130395 SAO SEBASTIAO DO UATUMA,2,1,-,1,4
130400 SILVES,5,3,-,-,8
130406 TABATINGA,191,13,-,15,219
130410 TAPAUA,33,10,-,4,47
130420 TEFE,198,17,-,7,222
130423 TONANTINS,17,5,-,3,25
130426 UARINI,30,6,-,4,40
130430 URUCARA,32,3,-,-,35
130440 URUCURITUBA,17,2,-,-,19
140002 AMAJARI,15,5,-,1,21
140005 ALTO ALEGRE,19,4,-,7,30
140010 BOA VISTA,918,41,-,24,983
140015 BONFIM,8,-,-,-,8
140017 CANTA,3,-,-,1,4
140020 CARACARAI,10,3,-,1,14
140023 CAROEBE,1,-,-,-,1
140028 IRACEMA,5,1,-,-,6
140030 MUCAJAI,5,1,-,-,6
140040 NORMANDIA,19,1,-,-,20
140045 PACARAIMA,8,4,-,-,12
140047 RORAINOPOLIS,24,1,-,1,26
140050 SAO JOAO DA BALIZA,1,-,-,-,1
140070 UIRAMUTA,9,1,-,1,11
150010 ABAETETUBA,109,5,-,4,118
150013 ABEL FIGUEIREDO,5,1,-,-,6
150020 ACARA,21,3,-,4,28
150030 AFUA,22,2,-,4,28
150034 AGUA AZUL DO NORTE,10,1,-,4,15
150040 ALENQUER,152,7,-,3,162
150050 ALMEIRIM,68,3,-,2,73
150060 ALTAMIRA,236,10,-,34,280
150070 ANAJAS,44,7,-,9,60
150080 ANANINDEUA,197,11,-,31,239
150085 ANAPU,34,2,-,3,39
150090 AUGUSTO CORREA,14,2,-,1,17
150095 AURORA DO PARA,18,-,-,-,18
150100 AVEIRO,11,1,-,-,12
150110 BAGRE,20,5,-,2,27
150120 BAIAO,41,2,-,3,46
150130 BARCARENA,146,10,-,13,169
150140 BELEM,4.418,91,3,135,4.647
150145 BELTERRA,7,1,-,2,10
150150 BENEVIDES,6,-,-,1,7
150157 BOM JESUS DO TOCANTINS,3,-,-,-,3
150170 BRAGANCA,364,16,-,14,394
150172 BRASIL NOVO,18,2,-,1,21
150175 BREJO GRANDE DO ARAGUAIA,1,-,-,-,1
150178 BREU BRANCO,9,1,-,1,11
150180 BREVES,403,27,-,12,442
150190 BUJARU,9,3,-,-,12
150195 CACHOEIRA DO PIRIA,3,1,-,2,6
150200 CACHOEIRA DO ARARI,16,1,-,1,18
150210 CAMETA,289,15,-,3,307
150215 CANAA DOS CARAJAS,77,3,-,5,85
150220 CAPANEMA,122,4,-,14,140
150230 CAPITAO POCO,40,5,-,1,46
150240 CASTANHAL,302,14,-,9,325
150250 CHAVES,7,2,-,1,10
150270 CONCEICAO DO ARAGUAIA,63,2,-,6,71
150275 CONCORDIA DO PARA,17,2,-,1,20
150276 CUMARU DO NORTE,8,1,-,1,10
150277 CURIONOPOLIS,19,1,-,-,20
150280 CURRALINHO,41,5,-,6,52
150285 CURUA,5,3,-,-,8
150290 CURUCA,9,1,-,-,10
150293 DOM ELISEU,44,-,-,9,53
150295 ELDORADO DOS CARAJAS,18,2,-,3,23
150300 FARO,10,2,-,1,13
150304 FLORESTA DO ARAGUAIA,12,3,-,1,16
150307 GARRAFAO DO NORTE,8,2,-,1,11
150309 GOIANESIA DO PARA,18,2,-,1,21
150310 GURUPA,48,5,-,-,53
150320 IGARAPE-ACU,12,-,-,-,12
150330 IGARAPE-MIRI,47,6,-,-,53
150340 INHANGAPI,1,1,-,1,3
150345 IPIXUNA DO PARA,11,1,-,5,17
150350 IRITUIA,10,-,-,-,10
150360 ITAITUBA,207,9,-,8,224
150370 ITUPIRANGA,69,2,-,2,73
150375 JACAREACANGA,83,10,-,-,93
150380 JACUNDA,51,-,-,2,53
150390 JURUTI,114,2,-,1,117
150400 LIMOEIRO DO AJURU,7,-,-,1,8
150405 MAE DO RIO,35,-,-,6,41
150420 MARABA,568,21,-,17,606
150430 MARACANA,2,1,-,3,6
150440 MARAPANIM,3,-,-,2,5
150442 MARITUBA,47,2,-,6,55
150445 MEDICILANDIA,22,3,-,4,29
150450 MELGACO,21,2,-,1,24
150460 MOCAJUBA,38,3,-,1,42
150470 MOJU,29,3,-,2,34
150475 MOJUI DOS CAMPOS,1,-,-,-,1
150480 MONTE ALEGRE,81,9,-,6,96
150490 MUANA,44,3,-,1,48
150495 NOVA ESPERANCA DO PIRIA,10,1,-,1,12
150497 NOVA IPIXUNA,3,-,-,-,3
150500 NOVA TIMBOTEUA,1,-,-,-,1
150503 NOVO PROGRESSO,68,5,-,6,79
150506 NOVO REPARTIMENTO,108,2,-,-,110
150510 OBIDOS,108,5,-,5,118
150520 OEIRAS DO PARA,64,6,-,4,74
150530 ORIXIMINA,176,3,-,2,181
150540 OUREM,5,2,-,5,12
150543 OURILANDIA DO NORTE,79,-,-,11,90
150548 PACAJA,49,-,-,2,51
150549 PALESTINA DO PARA,2,1,-,-,3
150550 PARAGOMINAS,176,2,-,1,179
150553 PARAUAPEBAS,389,8,-,16,413
150555 PAU D'ARCO,3,-,-,-,3
150563 PICARRA,5,2,-,-,7
150565 PLACAS,14,6,-,1,21
150570 PONTA DE PEDRAS,13,1,-,1,15
150580 PORTEL,157,22,-,1,180
150590 PORTO DE MOZ,62,6,-,3,71
150600 PRAINHA,51,3,-,1,55
150613 REDENCAO,226,7,-,11,244
150616 RIO MARIA,19,-,-,-,19
150618 RONDON DO PARA,60,1,-,2,63
150619 RUROPOLIS,30,3,-,4,37
150620 SALINOPOLIS,54,9,-,-,63
150630 SALVATERRA,26,5,-,2,33
150640 SANTA CRUZ DO ARARI,1,-,-,-,1
150650 SANTA IZABEL DO PARA,39,2,-,6,47
150655 SANTA LUZIA DO PARA,-,-,-,1,1
150658 SANTA MARIA DAS BARREIRAS,2,1,-,-,3
150660 SANTA MARIA DO PARA,3,-,-,1,4
150670 SANTANA DO ARAGUAIA,63,5,-,-,68
150680 SANTAREM,900,38,-,21,959
150690 SANTAREM NOVO,-,-,-,1,1
150700 SANTO ANTONIO DO TAUA,20,2,-,-,22
150710 SAO CAETANO DE ODIVELAS,2,-,-,-,2
150715 SAO DOMINGOS DO ARAGUAIA,10,2,-,1,13
150720 SAO DOMINGOS DO CAPIM,10,-,-,-,10
150730 SAO FELIX DO XINGU,59,1,-,2,62
150745 SAO GERALDO DO ARAGUAIA,23,-,-,3,26
150747 SAO JOAO DE PIRABAS,6,2,-,1,9
150750 SAO JOAO DO ARAGUAIA,-,1,-,-,1
