Município,2013,2014,2015,2016,2017,2018,2019,2020,2021
 MUNICIPIO IGNORADO - RO,1,-,-,-,-,-,-,-,-
110001 ALTA FLORESTA D'OESTE,1,-,2,1,-,-,1,-,-
110002 ARIQUEMES,21,24,31,9,20,30,33,15,19
110003 CABIXI,1,-,-,-,-,-,-,-,-
110004 CACOAL,14,22,15,15,24,13,9,16,13
110005 CEREJEIRAS,-,-,1,-,-,1,-,-,-
110006 COLORADO DO OESTE,-,-,-,-,2,-,-,-,-
110007 CORUMBIARA,-,-,-,-,-,-,-,-,1
110008 COSTA MARQUES,1,-,-,1,1,1,-,1,-
110009 ESPIGAO D'OESTE,1,4,2,2,2,4,4,-,2
110010 GUAJARA-MIRIM,5,9,8,4,12,12,1,7,6
110011 JARU,4,4,1,-,6,2,-,2,5
110012 JI-PARANA,16,11,10,11,18,13,11,14,9
110013 MACHADINHO D'OESTE,1,4,2,1,1,1,5,1,1
110014 NOVA BRASILANDIA D'OESTE,2,-,-,-,-,1,-,-,-
110015 OURO PRETO DO OESTE,5,2,3,5,2,4,2,7,19
110018 PIMENTA BUENO,5,4,-,2,3,3,3,4,1
110020 PORTO VELHO,258,263,287,285,218,236,209,236,203
110025 PRESIDENTE MEDICI,2,-,2,-,2,1,2,-,-
110028 ROLIM DE MOURA,5,6,8,4,4,2,2,3,3
110029 SANTA LUZIA D'OESTE,-,-,-,-,-,-,-,-,1
110030 VILHENA,11,14,9,8,12,9,9,12,5
110032 SAO MIGUEL DO GUAPORE,3,1,1,-,2,1,2,3,-
110033 NOVA MAMORE,6,1,-,1,1,2,1,-,1
110034 ALVORADA D'OESTE,1,1,-,-,1,-,-,-,-
110037 ALTO ALEGRE DOS PARECIS,-,1,-,-,1,-,1,-,-
110040 ALTO PARAISO,-,-,2,-,2,2,-,-,1
110045 BURITIS,1,5,1,2,6,1,-,2,3
110050 NOVO HORIZONTE DO OESTE,-,2,-,-,-,-,-,-,-
110070 CAMPO NOVO DE RONDONIA,-,-,1,-,-,-,-,-,-
110080 CANDEIAS DO JAMARI,1,2,1,1,1,-,2,1,1
110092 CHUPINGUAIA,-,-,1,-,-,-,-,-,-
110094 CUJUBIM,1,-,1,1,-,-,-,1,-
110110 ITAPUA DO OESTE,-,-,-,-,-,-,-,-,1
110120 MINISTRO ANDREAZZA,1,-,-,-,-,-,-,-,1
110130 MIRANTE DA SERRA,-,-,2,-,-,1,-,1,-
110145 PARECIS,-,-,-,-,1,1,-,-,-
110148 SAO FELIPE D'OESTE,-,-,-,-,-,-,1,-,-
110149 SAO FRANCISCO DO GUAPORE,2,2,4,6,4,5,5,4,-
110150 SERINGUEIRAS,-,1,-,-,-,-,1,-,-
110160 THEOBROMA,-,-,-,-,-,-,-,1,-
110175 VALE DO ANARI,-,-,-,1,-,-,-,-,1
120001 ACRELANDIA,1,-,-,-,1,-,-,-,-
120005 ASSIS BRASIL,1,-,2,2,-,1,1,1,2
120010 BRASILEIA,6,3,8,9,3,4,7,4,6
120013 BUJARI,-,-,1,-,-,-,-,-,-
120017 CAPIXABA,-,1,-,-,1,1,-,-,-
120020 CRUZEIRO DO SUL,26,35,37,25,44,59,60,38,56
120025 EPITACIOLANDIA,1,-,-,-,-,-,1,-,-
120030 FEIJO,19,12,18,14,6,18,18,14,14
120032 JORDAO,4,2,2,1,1,2,-,2,2
