Município,Óbitos_p/Ocorrênc
 MUNICIPIO IGNORADO - RO,1
110001 ALTA FLORESTA D'OESTE,5
110002 ARIQUEMES,202
110003 CABIXI,1
110004 CACOAL,141
110005 CEREJEIRAS,2
110006 COLORADO DO OESTE,2
110007 CORUMBIARA,1
110008 COSTA MARQUES,5
110009 ESPIGAO D'OESTE,21
110010 GUAJARA-MIRIM,64
110011 JARU,24
110012 JI-PARANA,113
110013 MACHADINHO D'OESTE,17
110014 NOVA BRASILANDIA D'OESTE,3
110015 OURO PRETO DO OESTE,49
110018 PIMENTA BUENO,25
110020 PORTO VELHO,2195
110025 PRESIDENTE MEDICI,9
110028 ROLIM DE MOURA,37
110029 SANTA LUZIA D'OESTE,1
110030 VILHENA,89
110032 SAO MIGUEL DO GUAPORE,13
110033 NOVA MAMORE,13
110034 ALVORADA D'OESTE,3
110037 ALTO ALEGRE DOS PARECIS,3
110040 ALTO PARAISO,7
110045 BURITIS,21
110050 NOVO HORIZONTE DO OESTE,2
110070 CAMPO NOVO DE RONDONIA,1
110080 CANDEIAS DO JAMARI,10
110092 CHUPINGUAIA,1
110094 CUJUBIM,4
110110 ITAPUA DO OESTE,1
110120 MINISTRO ANDREAZZA,2
110130 MIRANTE DA SERRA,4
110145 PARECIS,2
110148 SAO FELIPE D'OESTE,1
110149 SAO FRANCISCO DO GUAPORE,32
110150 SERINGUEIRAS,2
110160 THEOBROMA,1
110175 VALE DO ANARI,2
120001 ACRELANDIA,2
120005 ASSIS BRASIL,10
120010 BRASILEIA,50
120013 BUJARI,1
120017 CAPIXABA,3
120020 CRUZEIRO DO SUL,380
120025 EPITACIOLANDIA,2
120030 FEIJO,133
120032 JORDAO,16
120033 MANCIO LIMA,3
120034 MANOEL URBANO,35
120035 MARECHAL THAUMATURGO,31
120038 PLACIDO DE CASTRO,4
120039 PORTO WALTER,8
120040 RIO BRANCO,1610
120042 RODRIGUES ALVES,13
120043 SANTA ROSA DO PURUS,27
120045 SENADOR GUIOMARD,3
120050 SENA MADUREIRA,41
120060 TARAUACA,156
120070 XAPURI,8
120080 PORTO ACRE,1
130002 ALVARAES,22
130006 AMATURA,54
130008 ANAMA,7
130010 ANORI,25
130014 APUI,31
130020 ATALAIA DO NORTE,59
130030 AUTAZES,54
130040 BARCELOS,165
130050 BARREIRINHA,49
130060 BENJAMIN CONSTANT,106
130063 BERURI,22
130068 BOA VISTA DO RAMOS,19
130070 BOCA DO ACRE,40
130080 BORBA,53
130083 CAAPIRANGA,8
130090 CANUTAMA,33
130100 CARAUARI,96
130110 CAREIRO,14
130115 CAREIRO DA VARZEA,4
130120 COARI,165
130130 CODAJAS,30
130140 EIRUNEPE,222
130150 ENVIRA,78
130160 FONTE BOA,68
130165 GUAJARA,9
130170 HUMAITA,48
130180 IPIXUNA,73
130185 IRANDUBA,18
130190 ITACOATIARA,170
130195 ITAMARATI,30
130200 ITAPIRANGA,9
130210 JAPURA,12
130220 JURUA,27
130230 JUTAI,93
130240 LABREA,102
130250 MANACAPURU,101
130255 MANAQUIRI,11
130260 MANAUS,6285
130270 MANICORE,125
130280 MARAA,34
130290 MAUES,144
130300 NHAMUNDA,22
130310 NOVA OLINDA DO NORTE,87
130320 NOVO AIRAO,6
130330 NOVO ARIPUANA,40
130340 PARINTINS,455
130350 PAUINI,39
130353 PRESIDENTE FIGUEIREDO,14
130356 RIO PRETO DA EVA,10
130360 SANTA ISABEL DO RIO NEGRO,56
130370 SANTO ANTONIO DO ICA,110
130380 SAO GABRIEL DA CACHOEIRA,276
130390 SAO PAULO DE OLIVENCA,200
130395 SAO SEBASTIAO DO UATUMA,6
130400 SILVES,8
130406 TABATINGA,368
130410 TAPAUA,52
130420 TEFE,311
130423 TONANTINS,39
130426 UARINI,26
130430 URUCARA,36
130440 URUCURITUBA,9
140002 AMAJARI,71
140005 ALTO ALEGRE,206
140010 BOA VISTA,1496
140015 BONFIM,16
140017 CANTA,10
140020 CARACARAI,127
140023 CAROEBE,3
140028 IRACEMA,15
140030 MUCAJAI,21
140040 NORMANDIA,15
140045 PACARAIMA,24
140047 RORAINOPOLIS,29
140050 SAO JOAO DA BALIZA,4
140070 UIRAMUTA,51
150010 ABAETETUBA,123
150013 ABEL FIGUEIREDO,9
150020 ACARA,24
150030 AFUA,20
150034 AGUA AZUL DO NORTE,13
150040 ALENQUER,212
150050 ALMEIRIM,75
150060 ALTAMIRA,569
150070 ANAJAS,44
150080 ANANINDEUA,454
150085 ANAPU,41
150090 AUGUSTO CORREA,29
150095 AURORA DO PARA,16
150100 AVEIRO,11
150110 BAGRE,20
150120 BAIAO,42
150125 BANNACH,2
150130 BARCARENA,189
150140 BELEM,7138
150145 BELTERRA,5
150150 BENEVIDES,10
150157 BOM JESUS DO TOCANTINS,5
150160 BONITO,1
150170 BRAGANCA,516
150172 BRASIL NOVO,7
150178 BREU BRANCO,15
150180 BREVES,532
150190 BUJARU,15
150195 CACHOEIRA DO PIRIA,3
