Município,Média
 MUNICIPIO IGNORADO - RO,0.0
110001 ALTA FLORESTA D'OESTE,4.621300423165473
110002 ARIQUEMES,9.970537809345041
110003 CABIXI,1.6835016835016836
110004 CACOAL,9.290391521493127
110005 CEREJEIRAS,1.582838696240758
110006 COLORADO DO OESTE,44.44444444444444
110007 CORUMBIARA,55.55555555555556
110008 COSTA MARQUES,18.28924162257496
110009 ESPIGAO D'OESTE,4.986104052352008
110010 GUAJARA-MIRIM,6.662613094412231
110011 JARU,3.0068750552693793
110012 JI-PARANA,5.201150741183141
110013 MACHADINHO D'OESTE,7.17709667237092
110014 NOVA BRASILANDIA D'OESTE,1.3569841853909068
110015 OURO PRETO DO OESTE,4.41890927462433
110018 PIMENTA BUENO,3.4924372542710262
110020 PORTO VELHO,25.376872590424107
110025 PRESIDENTE MEDICI,30.26552202966225
110028 ROLIM DE MOURA,3.206270062763025
110029 SANTA LUZIA D'OESTE,0.0
110030 VILHENA,4.571394627493046
110032 SAO MIGUEL DO GUAPORE,4.382273558306704
110033 NOVA MAMORE,37.23982137736513
110034 ALVORADA D'OESTE,13.70074719131323
110037 ALTO ALEGRE DOS PARECIS,166.66666666666666
110040 ALTO PARAISO,109.68660968660969
110045 BURITIS,2.4911656193197476
110050 NOVO HORIZONTE DO OESTE,0.0
110070 CAMPO NOVO DE RONDONIA,0.0
110080 CANDEIAS DO JAMARI,403.7037037037037
110092 CHUPINGUAIA,37.03703703703704
110094 CUJUBIM,38.176638176638185
110110 ITAPUA DO OESTE,37.03703703703704
110120 MINISTRO ANDREAZZA,111.11111111111111
110130 MIRANTE DA SERRA,3.0487734395353576
110145 PARECIS,0.0
110148 SAO FELIPE D'OESTE,111.11111111111111
110149 SAO FRANCISCO DO GUAPORE,8.260800195175456
110150 SERINGUEIRAS,2.4691358024691357
110160 THEOBROMA,37.03703703703704
110175 VALE DO ANARI,83.33333333333333
120001 ACRELANDIA,12.820512820512823
120005 ASSIS BRASIL,11.799042429588637
120010 BRASILEIA,6.576847823155184
120013 BUJARI,0.0
120017 CAPIXABA,250.0
120020 CRUZEIRO DO SUL,14.070670358024532
120025 EPITACIOLANDIA,0.0
120030 FEIJO,20.563855552820005
120032 JORDAO,9.486531163888644
120033 MANCIO LIMA,5.2028218694885355
120034 MANOEL URBANO,29.113111835487764
120035 MARECHAL THAUMATURGO,13.31861271918556
120038 PLACIDO DE CASTRO,11.187658246481776
120039 PORTO WALTER,6.649143681998503
120040 RIO BRANCO,19.387224234912463
120042 RODRIGUES ALVES,26.600519426194992
120043 SANTA ROSA DO PURUS,22.53684324995425
120045 SENADOR GUIOMARD,9.732487246485006
120050 SENA MADUREIRA,5.85245041373984
120060 TARAUACA,14.505106357289959
120070 XAPURI,9.618422997496754
120080 PORTO ACRE,111.11111111111111
130002 ALVARAES,8.135509571494321
130006 AMATURA,25.256907541189896
130008 ANAMA,4.643051600191987
130010 ANORI,11.5160694861029
130014 APUI,13.325288008568842
130020 ATALAIA DO NORTE,22.877168418489095
130030 AUTAZES,7.375102362730786
130040 BARCELOS,37.32890881558869
130050 BARREIRINHA,8.88534356311725
130060 BENJAMIN CONSTANT,12.113056464470604
130063 BERURI,5.37490583401237
130068 BOA VISTA DO RAMOS,7.304209763938928
130070 BOCA DO ACRE,8.228384057868324
130080 BORBA,9.761401991598524
130083 CAAPIRANGA,5.658159215069784
130090 CANUTAMA,17.761394439683393
130100 CARAUARI,16.861777648383658
130110 CAREIRO,7.833458541513952
130115 CAREIRO DA VARZEA,19.047154312854797
130120 COARI,11.006026401532454
130130 CODAJAS,8.06586097089641
130140 EIRUNEPE,30.090998996811923
130150 ENVIRA,23.926977668947735
130160 FONTE BOA,12.359147045054492
130165 GUAJARA,22.26042636218589
130170 HUMAITA,5.360594724387322
130180 IPIXUNA,21.568882444119936
130185 IRANDUBA,15.861861887388288
130190 ITACOATIARA,9.093586103405578
130195 ITAMARATI,12.879374143645054
130200 ITAPIRANGA,6.468077084713136
130210 JAPURA,13.36566409642967
130220 JURUA,15.085008803326202
130230 JUTAI,16.35053645395615
130240 LABREA,15.609223536174262
130250 MANACAPURU,5.68447180530205
130255 MANAQUIRI,9.943608303899044
130260 MANAUS,16.474376513208746
130270 MANICORE,15.732298604477522
130280 MARAA,12.01202466558652
130290 MAUES,11.030736075779203
130300 NHAMUNDA,7.940230434218683
130310 NOVA OLINDA DO NORTE,13.352535006965702
130320 NOVO AIRAO,3.5549411809210243
130330 NOVO ARIPUANA,12.1217462464527
130340 PARINTINS,21.80490729901279
130350 PAUINI,12.680408809136388
130353 PRESIDENTE FIGUEIREDO,5.088806104476489
130356 RIO PRETO DA EVA,11.227801352875595
130360 SANTA ISABEL DO RIO NEGRO,20.842570669472863
130370 SANTO ANTONIO DO ICA,16.903248860969867
130380 SAO GABRIEL DA CACHOEIRA,24.3892170570248
130390 SAO PAULO DE OLIVENCA,24.524088485118178
130395 SAO SEBASTIAO DO UATUMA,4.6631336046111596
130400 SILVES,7.22258081814291
130406 TABATINGA,22.209233655914325
130410 TAPAUA,14.589006117662725
130420 TEFE,17.710660752428666
130423 TONANTINS,11.042464065414556
130426 UARINI,9.009908306326345
130430 URUCARA,13.911735875346698
130440 URUCURITUBA,4.052688488135029
140002 AMAJARI,42.91549226513351
140005 ALTO ALEGRE,54.58262854071063
140010 BOA VISTA,16.330010548306117
140015 BONFIM,16.45024224328791
140017 CANTA,36.99282858875389
140020 CARACARAI,134.66653332784526
140023 CAROEBE,20.547353880687215
140028 IRACEMA,43.588546529723
140030 MUCAJAI,50.29011925702143
140040 NORMANDIA,7.671477577369012
140045 PACARAIMA,16.23535539648145
140047 RORAINOPOLIS,5.738942888464713
140050 SAO JOAO DA BALIZA,30.626780626780626
140070 UIRAMUTA,18.280406048367738
150010 ABAETETUBA,5.795627404979282
150013 ABEL FIGUEIREDO,10.012944093790345
150020 ACARA,6.97301637438005
150030 AFUA,7.370619503052528
150034 AGUA AZUL DO NORTE,13.083316401212578
150040 ALENQUER,20.431621790958875
150050 ALMEIRIM,12.84138053969171
150060 ALTAMIRA,21.287701959247407
150070 ANAJAS,6.9281464545881075
150080 ANANINDEUA,7.933421654308686
150085 ANAPU,8.637467094289432
150090 AUGUSTO CORREA,10.391638831367858
150095 AURORA DO PARA,5.752504353396991
150100 AVEIRO,16.057343445640637
150110 BAGRE,5.443119637619991
150120 BAIAO,10.058671515389678
150125 BANNACH,74.07407407407408
150130 BARCARENA,8.971581878384582
150140 BELEM,27.24203479621493
150145 BELTERRA,3.9705450656287593
150150 BENEVIDES,164.84788359788362
150157 BOM JESUS DO TOCANTINS,3.269966802495356
150160 BONITO,55.55555555555556
150170 BRAGANCA,15.421139222017928
150172 BRASIL NOVO,4.346428849962224
150178 BREU BRANCO,6.165976500703889
150180 BREVES,20.184113375471288
150190 BUJARU,9.706454336514774
150195 CACHOEIRA DO PIRIA,7.135076252723312
150200 CACHOEIRA DO ARARI,12.628709665536404
150210 CAMETA,14.219392834930447
150215 CANAA DOS CARAJAS,9.27120034146466
150220 CAPANEMA,5.789891344072388
150230 CAPITAO POCO,3.5427117836984836
150240 CASTANHAL,7.134374174996371
150250 CHAVES,5.523033437723552
150260 COLARES,28.1536878759101
150270 CONCEICAO DO ARAGUAIA,13.684935552569938
150275 CONCORDIA DO PARA,5.0382748650687015
150276 CUMARU DO NORTE,18.83011102459789
150277 CURIONOPOLIS,14.94584475607919
150280 CURRALINHO,9.571456117254975
150285 CURUA,11.272234712373468
150290 CURUCA,12.942824573387652
150293 DOM ELISEU,6.041601094971529
150295 ELDORADO DOS CARAJAS,11.185080562337514
150300 FARO,8.119227149871145
150304 FLORESTA DO ARAGUAIA,4.249746813285308
150307 GARRAFAO DO NORTE,25.96099830853042
150309 GOIANESIA DO PARA,3.8475747939711358
150310 GURUPA,7.848203281900355
150320 IGARAPE-ACU,13.445380734569449
150330 IGARAPE-MIRI,5.526388764811243
150340 INHANGAPI,55.55555555555556
150345 IPIXUNA DO PARA,8.07949250519856
150350 IRITUIA,14.171906225879239
150360 ITAITUBA,15.89471599040872
150370 ITUPIRANGA,7.660769746056818
150375 JACAREACANGA,19.21196942921694
150380 JACUNDA,3.6668304823687814
150390 JURUTI,16.343706625093322
150400 LIMOEIRO DO AJURU,13.454424680832613
150405 MAE DO RIO,8.679172785658066
150410 MAGALHAES BARATA,52.910052910052904
150420 MARABA,16.660549018570652
150430 MARACANA,6.997798615733708
150440 MARAPANIM,19.18166980172225
150442 MARITUBA,4.576945919071548
150445 MEDICILANDIA,3.5671304778398625
150450 MELGACO,9.322128903279001
150460 MOCAJUBA,10.248982555975253
150470 MOJU,6.024263944801257
150475 MOJUI DOS CAMPOS,50.0
150480 MONTE ALEGRE,11.976405822368783
150490 MUANA,19.1033056956499
150495 NOVA ESPERANCA DO PIRIA,7.372414312904583
150497 NOVA IPIXUNA,40.08872756604154
150500 NOVA TIMBOTEUA,55.55555555555556
150503 NOVO PROGRESSO,15.346550999245949
150506 NOVO REPARTIMENTO,3.393493676403592
150510 OBIDOS,14.858080440802865
150520 OEIRAS DO PARA,14.164203077863691
150530 ORIXIMINA,16.001598364847194
150540 OUREM,4.522779754820764
150543 OURILANDIA DO NORTE,13.65850389780777
150548 PACAJA,7.53225027830501
150549 PALESTINA DO PARA,14.434106237384928
150550 PARAGOMINAS,7.472399297306522
150553 PARAUAPEBAS,7.549559047929197
150555 PAU D'ARCO,17.692471883648356
150560 PEIXE-BOI,111.11111111111111
150563 PICARRA,39.72485090132149
150565 PLACAS,4.037550268267079
150570 PONTA DE PEDRAS,9.21679839207242
150580 PORTEL,10.624589666299213
150590 PORTO DE MOZ,11.191075112816948
150600 PRAINHA,12.22740180105071
150610 PRIMAVERA,6.2263230226232125
150611 QUATIPURU,55.55555555555556
150613 REDENCAO,25.360484863313566
150616 RIO MARIA,3.9365311236938094
150618 RONDON DO PARA,8.846400693562149
150619 RUROPOLIS,9.039394451138678
150620 SALINOPOLIS,5.0682165444636285
150630 SALVATERRA,15.5689183135835
150635 SANTA BARBARA DO PARA,55.55555555555556
150640 SANTA CRUZ DO ARARI,1.9157088122605361
150650 SANTA IZABEL DO PARA,33.113765239878255
150655 SANTA LUZIA DO PARA,7.608695652173913
150658 SANTA MARIA DAS BARREIRAS,31.038469860709412
150660 SANTA MARIA DO PARA,22.500267684365674
150670 SANTANA DO ARAGUAIA,9.449763977595287
150680 SANTAREM,21.272653308254192
150690 SANTAREM NOVO,55.55555555555556
150700 SANTO ANTONIO DO TAUA,4.845273576211136
150710 SAO CAETANO DE ODIVELAS,10.008169934640522
150715 SAO DOMINGOS DO ARAGUAIA,4.162427446083902
150720 SAO DOMINGOS DO CAPIM,15.910937405742446
150730 SAO FELIX DO XINGU,13.417554525593923
150740 SAO FRANCISCO DO PARA,0.0
150745 SAO GERALDO DO ARAGUAIA,8.02771516990196
150747 SAO JOAO DE PIRABAS,17.03596814707926
150750 SAO JOAO DO ARAGUAIA,30.00556947925369
150760 SAO MIGUEL DO GUAMA,9.2025334173337
150770 SAO SEBASTIAO DA BOA VISTA,6.416528768728717
150775 SAPUCAIA,4.273504273504274
150780 SENADOR JOSE PORFIRIO,13.479899269073329
150790 SOURE,14.874246218416538
150795 TAILANDIA,11.007750376702566
150797 TERRA SANTA,3.967152153172821
150800 TOME-ACU,6.2049571234027106
150803 TRACUATEUA,11.22334455667789
150805 TRAIRAO,4.59952865701728
150808 TUCUMA,13.352546598805427
150810 TUCURUI,22.377862266030988
150812 ULIANOPOLIS,6.279613865084577
150815 URUARA,9.897399860481107
150820 VIGIA,6.306463191070344
150830 VISEU,9.83330278982634
150835 VITORIA DO XINGU,8.497872036435403
150840 XINGUARA,6.304562003105444
160005 SERRA DO NAVIO,9.25925925925926
160010 AMAPA,3.111046697641759
160015 PEDRA BRANCA DO AMAPARI,3.918912261895225
160020 CALCOENE,13.499363505735092
160021 CUTIAS,25.09910268530958
160023 FERREIRA GOMES,18.26325071939107
160027 LARANJAL DO JARI,15.961137514419796
160030 MACAPA,21.4973947711787
160040 MAZAGAO,8.91163618016539
160050 OIAPOQUE,13.387607343673217
160053 PORTO GRANDE,8.424618424618425
160055 PRACUUBA,6.1728395061728385
160060 SANTANA,7.401659855069929
160070 TARTARUGALZINHO,5.250588279005641
160080 VITORIA DO JARI,22.38268330222353
170030 AGUIARNOPOLIS,0.0
170035 ALIANCA DO TOCANTINS,222.22222222222223
170040 ALMAS,111.11111111111111
170070 ALVORADA,148.14814814814815
170100 ANANAS,72.53086419753086
170110 APARECIDA DO RIO NEGRO,55.55555555555556
170130 ARAGOMINAS,55.55555555555556
170190 ARAGUACEMA,6.759259259259259
170200 ARAGUACU,11.272217861942359
170210 ARAGUAINA,11.836398141760885
170215 ARAGUANA,0.0
170220 ARAGUATINS,16.350676072898295
170230 ARAPOEMA,6.970879519899128
170240 ARRAIAS,9.643722041651467
170255 AUGUSTINOPOLIS,6.18808669340356
170290 AXIXA DO TOCANTINS,37.03703703703704
170305 BANDEIRANTES DO TOCANTINS,0.0
170307 BARRA DO OURO,92.59259259259258
170310 BARROLANDIA,0.0
170370 BREJINHO DE NAZARE,27.77777777777778
170384 CAMPOS LINDOS,43.54657687991021
170390 CASEARA,142.85714285714286
170510 CHAPADA DA NATIVIDADE,111.11111111111111
170550 COLINAS DO TOCANTINS,14.353061389500972
170555 COMBINADO,0.0
170560 CONCEICAO DO TOCANTINS,37.03703703703704
170600 COUTO MAGALHAES,111.11111111111111
170610 CRISTALANDIA,111.11111111111111
170650 DARCINOPOLIS,27.77777777777778
170700 DIANOPOLIS,8.135207276143827
170720 DOIS IRMAOS DO TOCANTINS,92.59259259259258
170740 ESPERANTINA,34.39153439153439
170770 FILADELFIA,118.5185185185185
170820 FORMOSO DO ARAGUAIA,91.63059163059162
170900 GOIATINS,15.963308210694969
